transaction_id,tax_type,tax_rate,tax_amount
TXN100109,GST,18.0,84.57
TXN100110,GST,18.0,206.58
TXN100111,GST,18.0,32.53
TXN100112,GST,18.0,96.3
TXN100114,GST,18.0,160.33
TXN100115,GST,18.0,131.78
TXN100116,GST,18.0,151.18
TXN100117,GST,18.0,22.14
TXN100118,GST,18.0,26.53
TXN100119,GST,18.0,16.68
TXN100120,GST,18.0,54.39
TXN100121,GST,18.0,115.35
TXN100122,GST,18.0,209.9
TXN100123,GST,18.0,31.51
TXN100124,GST,18.0,56.94
TXN100125,GST,18.0,133.91
TXN100126,GST,18.0,128.26
TXN100127,GST,18.0,91.77
TXN100128,GST,18.0,61.18
TXN100129,GST,18.0,136.56
TXN100130,GST,18.0,129.44
TXN100131,GST,18.0,109.91
TXN100132,GST,18.0,50.38
TXN100133,GST,18.0,256.24
TXN100134,GST,18.0,54.25
TXN100135,GST,18.0,132.36
TXN100136,GST,18.0,174.48
TXN100137,GST,18.0,120.52
TXN100139,GST,18.0,108.99
TXN100140,GST,18.0,9.54
TXN100141,GST,18.0,19.48
TXN100142,GST,18.0,35.01
TXN100143,GST,18.0,14.42
TXN100144,GST,18.0,140.97
TXN100145,GST,18.0,102.54
TXN100146,GST,18.0,96.74
TXN100147,GST,18.0,170.92
TXN100148,GST,18.0,23.62
TXN100149,GST,18.0,157.89
TXN100150,GST,18.0,120.75
TXN100151,GST,18.0,131.31
TXN100152,GST,18.0,12.15
TXN100153,GST,18.0,213.8
TXN100154,GST,18.0,81.66
TXN100155,GST,18.0,84.08
TXN100156,GST,18.0,41.52
TXN100157,GST,18.0,140.51
TXN100158,GST,18.0,120.75
TXN100159,GST,18.0,34.24
TXN100160,GST,18.0,191.42
TXN100161,GST,18.0,142.83
TXN100162,GST,18.0,153.72
TXN100163,GST,18.0,79.19
TXN100165,GST,18.0,203.1
TXN100166,GST,18.0,146.61
TXN100167,GST,18.0,87.48
TXN100168,GST,18.0,9.67
TXN100169,GST,18.0,156.68
TXN100170,GST,18.0,96.59
TXN100171,GST,18.0,6.28
TXN100172,GST,18.0,13.87
TXN100173,GST,18.0,130.77
TXN100175,GST,18.0,131.13
TXN100176,GST,18.0,200.01
TXN100177,GST,18.0,187.49
TXN100178,GST,18.0,39.55
TXN100179,GST,18.0,137.64
TXN100180,GST,18.0,219.42
TXN100181,GST,18.0,120.41
TXN100182,GST,18.0,141.24
TXN100183,GST,18.0,152.46
TXN100184,GST,18.0,234.02
TXN100185,GST,18.0,101.54
TXN100186,GST,18.0,5.04
TXN100187,GST,18.0,77.14
TXN100188,GST,18.0,104.87
TXN100189,GST,18.0,184.63
TXN100190,GST,18.0,52.95
TXN100191,GST,18.0,128.7
TXN100192,GST,18.0,31.25
TXN100194,GST,18.0,38.77
TXN100196,GST,18.0,119.06
TXN100197,GST,18.0,19.45
TXN100198,GST,18.0,170.17
TXN100199,GST,18.0,210.38
TXN100200,GST,18.0,81.27
TXN100201,GST,18.0,212.35
TXN100202,GST,18.0,170.76
TXN100203,GST,18.0,48.27
TXN100204,GST,18.0,174.41
TXN100205,GST,18.0,33.88
TXN100206,GST,18.0,67.06
TXN100207,GST,18.0,220.46
TXN100208,GST,18.0,130.69
TXN100209,GST,18.0,158.84
TXN100210,GST,18.0,88.88
TXN100212,GST,18.0,88.34
TXN100213,GST,18.0,126.87
TXN100214,GST,18.0,192.24
TXN100215,GST,18.0,64.15
TXN100216,GST,18.0,17.82
TXN100217,GST,18.0,99.45
TXN100218,GST,18.0,175.53
TXN100219,GST,18.0,8.8
TXN100220,GST,18.0,162.97
TXN100221,GST,18.0,148.2
TXN100222,GST,18.0,150.42
TXN100223,GST,18.0,29.66
TXN100224,GST,18.0,155.33
TXN100225,GST,18.0,213.81
TXN100227,GST,18.0,57.45
TXN100228,GST,18.0,104.13
TXN100229,GST,18.0,42.24
TXN100230,GST,18.0,57.27
TXN100231,GST,18.0,79.97
TXN100232,GST,18.0,10.31
TXN100233,GST,18.0,107.55
TXN100234,GST,18.0,158.01
TXN100235,GST,18.0,131.18
TXN100236,GST,18.0,65.22
TXN100237,GST,18.0,89.15
TXN100238,GST,18.0,89.86
TXN100239,GST,18.0,178.77
TXN100240,GST,18.0,237.3
TXN100241,GST,18.0,93.21
TXN100242,GST,18.0,132.03
TXN100243,GST,18.0,14.75
TXN100244,GST,18.0,134.76
TXN100245,GST,18.0,39.0
TXN100246,GST,18.0,96.1
TXN100247,GST,18.0,30.98
TXN100248,GST,18.0,194.6
TXN100249,GST,18.0,38.24
TXN100250,GST,18.0,94.71
TXN100251,GST,18.0,5.01
TXN100252,GST,18.0,123.63
TXN100253,GST,18.0,209.4
TXN100254,GST,18.0,36.9
TXN100255,GST,18.0,23.28
TXN100256,GST,18.0,56.81
TXN100257,GST,18.0,99.59
TXN100258,GST,18.0,17.36
TXN100259,GST,18.0,40.49
TXN100260,GST,18.0,113.53
TXN100261,GST,18.0,178.66
TXN100263,GST,18.0,176.35
TXN100264,GST,18.0,24.67
TXN100265,GST,18.0,8.88
TXN100266,GST,18.0,50.59
TXN100267,GST,18.0,193.47
TXN100268,GST,18.0,185.22
TXN100269,GST,18.0,26.84
TXN100270,GST,18.0,26.54
TXN100271,GST,18.0,29.49
TXN100272,GST,18.0,203.62
TXN100273,GST,18.0,106.91
TXN100274,GST,18.0,52.87
TXN100275,GST,18.0,84.47
TXN100276,GST,18.0,60.73
TXN100277,GST,18.0,85.89
TXN100278,GST,18.0,208.87
TXN100279,GST,18.0,58.88
TXN100280,GST,18.0,185.49
TXN100281,GST,18.0,61.58
TXN100282,GST,18.0,131.56
TXN100283,GST,18.0,138.17
TXN100284,GST,18.0,122.34
TXN100285,GST,18.0,205.03
TXN100286,GST,18.0,139.83
TXN100287,GST,18.0,62.09
TXN100288,GST,18.0,227.44
TXN100289,GST,18.0,55.27
TXN100291,GST,18.0,234.9
TXN100292,GST,18.0,20.4
TXN100293,GST,18.0,135.88
TXN100294,GST,18.0,125.28
TXN100295,GST,18.0,153.25
TXN100296,GST,18.0,64.7
TXN100297,GST,18.0,37.13
TXN100298,GST,18.0,103.18
TXN100299,GST,18.0,132.39
TXN100300,GST,18.0,44.37
TXN100302,GST,18.0,107.46
TXN100303,GST,18.0,29.48
TXN100304,GST,18.0,98.98
TXN100305,GST,18.0,110.55
TXN100306,GST,18.0,51.52
TXN100307,GST,18.0,224.2
TXN100308,GST,18.0,72.0
TXN100309,GST,18.0,94.02
TXN100310,GST,18.0,100.58
TXN100311,GST,18.0,95.22
TXN100312,GST,18.0,95.37
TXN100313,GST,18.0,211.89
TXN100314,GST,18.0,40.21
TXN100315,GST,18.0,119.06
TXN100316,GST,18.0,145.2
TXN100317,GST,18.0,23.59
TXN100318,GST,18.0,137.22
TXN100319,GST,18.0,152.63
TXN100320,GST,18.0,135.03
TXN100321,GST,18.0,58.06
TXN100322,GST,18.0,200.44
TXN100323,GST,18.0,92.68
TXN100324,GST,18.0,136.57
TXN100325,GST,18.0,51.57
TXN100326,GST,18.0,168.3
TXN100327,GST,18.0,0
TXN100328,GST,18.0,80.62
TXN100329,GST,18.0,89.38
TXN100330,GST,18.0,4.13
TXN100331,GST,18.0,14.39
TXN100332,GST,18.0,87.78
TXN100333,GST,18.0,14.64
TXN100334,GST,18.0,106.17
TXN100336,GST,18.0,226.86
TXN100338,GST,18.0,196.62
TXN100339,GST,18.0,78.7
TXN100340,GST,18.0,40.88
TXN100341,GST,18.0,220.01
TXN100342,GST,18.0,129.52
TXN100343,GST,18.0,3.64
TXN100344,GST,18.0,152.81
TXN100346,GST,18.0,52.16
TXN100347,GST,18.0,153.16
TXN100348,GST,18.0,169.63
TXN100349,GST,18.0,32.74
TXN100351,GST,18.0,164.62
TXN100352,GST,18.0,31.6
TXN100353,GST,18.0,190.4
TXN100354,GST,18.0,114.03
TXN100355,GST,18.0,38.69
TXN100356,GST,18.0,199.09
TXN100357,GST,18.0,91.38
TXN100358,GST,18.0,60.83
TXN100359,GST,18.0,95.03
TXN100361,GST,18.0,149.81
TXN100362,GST,18.0,55.26
TXN100363,GST,18.0,65.04
TXN100364,GST,18.0,0
TXN100365,GST,18.0,2.3
TXN100366,GST,18.0,99.15
TXN100367,GST,18.0,137.27
TXN100368,GST,18.0,109.0
TXN100369,GST,18.0,53.83
TXN100370,GST,18.0,64.63
TXN100371,GST,18.0,48.64
TXN100372,GST,18.0,21.74
TXN100373,GST,18.0,227.18
TXN100374,GST,18.0,206.53
TXN100375,GST,18.0,155.54
TXN100377,GST,18.0,221.8
TXN100378,GST,18.0,77.09
TXN100379,GST,18.0,25.63
TXN100380,GST,18.0,222.11
TXN100381,GST,18.0,19.14
TXN100382,GST,18.0,177.78
TXN100383,GST,18.0,90.01
TXN100384,GST,18.0,54.02
TXN100385,GST,18.0,72.49
TXN100386,GST,18.0,38.18
TXN100387,GST,18.0,229.05
TXN100388,GST,18.0,215.05
TXN100389,GST,18.0,6.57
TXN100390,GST,18.0,187.62
TXN100391,GST,18.0,20.69
TXN100392,GST,18.0,107.6
TXN100393,GST,18.0,190.2
TXN100394,GST,18.0,155.68
TXN100395,GST,18.0,8.8
TXN100396,GST,18.0,78.32
TXN100397,GST,18.0,15.87
TXN100399,GST,18.0,79.41
TXN100400,GST,18.0,92.26
TXN100401,GST,18.0,124.15
TXN100402,GST,18.0,35.48
TXN100403,GST,18.0,44.02
TXN100405,GST,18.0,122.88
TXN100408,GST,18.0,251.11
TXN100409,GST,18.0,29.01
TXN100410,GST,18.0,87.63
TXN100412,GST,18.0,141.15
TXN100413,GST,18.0,101.14
TXN100414,GST,18.0,0
TXN100415,GST,18.0,73.36
TXN100416,GST,18.0,11.99
TXN100417,GST,18.0,57.5
TXN100418,GST,18.0,179.07
TXN100420,GST,18.0,45.53
TXN100421,GST,18.0,56.29
TXN100422,GST,18.0,15.42
TXN100423,GST,18.0,247.63
TXN100424,GST,18.0,53.22
TXN100425,GST,18.0,156.92
TXN100426,GST,18.0,9.74
TXN100427,GST,18.0,160.61
TXN100428,GST,18.0,145.46
TXN100429,GST,18.0,69.29
TXN100431,GST,18.0,70.66
TXN100432,GST,18.0,54.11
TXN100433,GST,18.0,93.0
TXN100434,GST,18.0,159.14
TXN100435,GST,18.0,69.27
TXN100436,GST,18.0,196.88
TXN100437,GST,18.0,82.92
TXN100438,GST,18.0,120.38
TXN100439,GST,18.0,150.4
TXN100440,GST,18.0,162.77
TXN100441,GST,18.0,10.94
TXN100442,GST,18.0,129.75
TXN100443,GST,18.0,70.16
TXN100444,GST,18.0,82.34
TXN100445,GST,18.0,15.76
TXN100446,GST,18.0,66.31
TXN100447,GST,18.0,157.55
TXN100448,GST,18.0,173.01
TXN100449,GST,18.0,135.49
TXN100450,GST,18.0,2.58
TXN100451,GST,18.0,13.2
TXN100452,GST,18.0,47.2
TXN100453,GST,18.0,160.9
TXN100454,GST,18.0,219.59
TXN100455,GST,18.0,156.7
TXN100456,GST,18.0,0
TXN100457,GST,18.0,154.76
TXN100458,GST,18.0,88.74
TXN100459,GST,18.0,78.76
TXN100460,GST,18.0,101.12
TXN100461,GST,18.0,255.74
TXN100462,GST,18.0,58.97
TXN100463,GST,18.0,105.89
TXN100464,GST,18.0,118.75
TXN100465,GST,18.0,67.61
TXN100466,GST,18.0,206.73
TXN100467,GST,18.0,43.23
TXN100468,GST,18.0,42.08
TXN100469,GST,18.0,103.21
TXN100470,GST,18.0,31.92
TXN100471,GST,18.0,41.86
TXN100472,GST,18.0,61.45
TXN100473,GST,18.0,138.41
TXN100474,GST,18.0,160.37
TXN100475,GST,18.0,121.85
TXN100476,GST,18.0,102.99
TXN100478,GST,18.0,29.37
TXN100479,GST,18.0,201.5
TXN100480,GST,18.0,50.77
TXN100481,GST,18.0,2.05
TXN100482,GST,18.0,225.66
TXN100483,GST,18.0,85.69
TXN100484,GST,18.0,88.43
TXN100486,GST,18.0,85.44
TXN100487,GST,18.0,192.24
TXN100488,GST,18.0,138.54
TXN100489,GST,18.0,227.26
TXN100490,GST,18.0,33.2
TXN100491,GST,18.0,93.7
TXN100492,GST,18.0,44.25
TXN100493,GST,18.0,154.7
TXN100495,GST,18.0,197.76
TXN100496,GST,18.0,124.51
TXN100497,GST,18.0,102.96
TXN100498,GST,18.0,77.97
TXN100499,GST,18.0,56.15
TXN100500,GST,18.0,129.98
TXN100502,GST,18.0,157.08
TXN100503,GST,18.0,169.11
TXN100505,GST,18.0,8.88
TXN100506,GST,18.0,43.05
TXN100507,GST,18.0,170.53
TXN100509,GST,18.0,3.07
TXN100510,GST,18.0,140.86
TXN100511,GST,18.0,110.22
TXN100512,GST,18.0,249.7
TXN100513,GST,18.0,205.06
TXN100514,GST,18.0,38.55
TXN100515,GST,18.0,188.68
TXN100516,GST,18.0,101.58
TXN100517,GST,18.0,209.95
TXN100518,GST,18.0,11.72
TXN100519,GST,18.0,165.96
TXN100520,GST,18.0,84.49
TXN100521,GST,18.0,63.87
TXN100522,GST,18.0,118.78
TXN100523,GST,18.0,143.67
TXN100524,GST,18.0,55.74
TXN100525,GST,18.0,141.74
TXN100526,GST,18.0,135.55
TXN100527,GST,18.0,78.05
TXN100528,GST,18.0,119.7
TXN100529,GST,18.0,100.85
TXN100530,GST,18.0,58.63
TXN100531,GST,18.0,70.51
TXN100532,GST,18.0,43.26
TXN100533,GST,18.0,237.5
TXN100534,GST,18.0,211.16
TXN100535,GST,18.0,9.8
TXN100536,GST,18.0,8.3
TXN100537,GST,18.0,160.88
TXN100538,GST,18.0,123.76
TXN100539,GST,18.0,0
TXN100540,GST,18.0,99.81
TXN100541,GST,18.0,5.91
TXN100542,GST,18.0,162.92
TXN100543,GST,18.0,147.53
TXN100544,GST,18.0,110.92
TXN100545,GST,18.0,58.42
TXN100546,GST,18.0,8.22
TXN100548,GST,18.0,36.68
TXN100549,GST,18.0,129.52
TXN100550,GST,18.0,49.01
TXN100551,GST,18.0,164.37
TXN100552,GST,18.0,48.1
TXN100553,GST,18.0,58.24
TXN100555,GST,18.0,146.28
TXN100556,GST,18.0,131.16
TXN100557,GST,18.0,182.85
TXN100558,GST,18.0,139.32
TXN100559,GST,18.0,120.57
TXN100560,GST,18.0,199.94
TXN100561,GST,18.0,71.34
TXN100562,GST,18.0,87.67
TXN100563,GST,18.0,157.76
TXN100564,GST,18.0,29.44
TXN100565,GST,18.0,162.26
TXN100566,GST,18.0,44.7
TXN100567,GST,18.0,92.57
TXN100568,GST,18.0,116.69
TXN100569,GST,18.0,170.37
TXN100570,GST,18.0,92.3
TXN100571,GST,18.0,115.63
TXN100572,GST,18.0,0
TXN100573,GST,18.0,31.6
TXN100574,GST,18.0,210.69
TXN100575,GST,18.0,38.21
TXN100576,GST,18.0,9.49
TXN100577,GST,18.0,174.81
TXN100578,GST,18.0,203.64
TXN100579,GST,18.0,150.02
TXN100580,GST,18.0,42.25
TXN100581,GST,18.0,71.22
TXN100582,GST,18.0,92.32
TXN100583,GST,18.0,173.55
TXN100584,GST,18.0,97.86
TXN100585,GST,18.0,174.42
TXN100586,GST,18.0,116.48
TXN100587,GST,18.0,47.36
TXN100588,GST,18.0,88.24
TXN100589,GST,18.0,26.85
TXN100590,GST,18.0,144.82
TXN100591,GST,18.0,72.18
TXN100592,GST,18.0,182.72
TXN100593,GST,18.0,83.82
TXN100594,GST,18.0,188.94
TXN100595,GST,18.0,75.78
TXN100596,GST,18.0,135.5
TXN100597,GST,18.0,101.17
TXN100598,GST,18.0,219.04
TXN100599,GST,18.0,48.52
TXN100600,GST,18.0,130.1
TXN100601,GST,18.0,93.44
TXN100602,GST,18.0,171.19
TXN100603,GST,18.0,83.09
TXN100604,GST,18.0,160.65
TXN100606,GST,18.0,168.56
TXN100607,GST,18.0,226.39
TXN100608,GST,18.0,22.13
TXN100609,GST,18.0,148.95
TXN100610,GST,18.0,61.57
TXN100612,GST,18.0,166.29
TXN100613,GST,18.0,127.85
TXN100614,GST,18.0,43.77
TXN100615,GST,18.0,106.86
TXN100616,GST,18.0,116.91
TXN100617,GST,18.0,11.93
TXN100618,GST,18.0,223.29
TXN100620,GST,18.0,54.7
TXN100621,GST,18.0,51.18
TXN100622,GST,18.0,74.52
TXN100623,GST,18.0,32.96
TXN100624,GST,18.0,119.49
TXN100625,GST,18.0,154.12
TXN100626,GST,18.0,191.39
TXN100627,GST,18.0,136.88
TXN100628,GST,18.0,13.05
TXN100629,GST,18.0,62.61
TXN100630,GST,18.0,34.08
TXN100631,GST,18.0,87.21
TXN100632,GST,18.0,160.13
TXN100633,GST,18.0,100.45
TXN100634,GST,18.0,27.92
TXN100635,GST,18.0,147.25
TXN100636,GST,18.0,45.88
TXN100637,GST,18.0,128.79
TXN100638,GST,18.0,178.98
TXN100639,GST,18.0,17.67
TXN100640,GST,18.0,108.33
TXN100641,GST,18.0,10.34
TXN100642,GST,18.0,133.61
TXN100643,GST,18.0,109.79
TXN100644,GST,18.0,114.42
TXN100645,GST,18.0,98.2
TXN100646,GST,18.0,67.16
TXN100647,GST,18.0,53.35
TXN100648,GST,18.0,77.39
TXN100649,GST,18.0,137.9
TXN100650,GST,18.0,21.02
TXN100651,GST,18.0,188.33
TXN100652,GST,18.0,95.67
TXN100653,GST,18.0,60.62
TXN100654,GST,18.0,47.6
TXN100655,GST,18.0,18.16
TXN100656,GST,18.0,82.81
TXN100657,GST,18.0,20.69
TXN100658,GST,18.0,33.26
TXN100659,GST,18.0,72.43
TXN100660,GST,18.0,86.77
TXN100661,GST,18.0,38.99
TXN100662,GST,18.0,117.46
TXN100663,GST,18.0,40.04
TXN100665,GST,18.0,119.56
TXN100666,GST,18.0,96.9
TXN100667,GST,18.0,83.77
TXN100668,GST,18.0,94.6
TXN100669,GST,18.0,127.18
TXN100670,GST,18.0,49.39
TXN100671,GST,18.0,34.65
TXN100672,GST,18.0,49.22
TXN100673,GST,18.0,87.27
TXN100674,GST,18.0,169.92
TXN100675,GST,18.0,170.3
TXN100677,GST,18.0,17.15
TXN100678,GST,18.0,48.6
TXN100679,GST,18.0,171.46
TXN100681,GST,18.0,78.08
TXN100682,GST,18.0,187.4
TXN100683,GST,18.0,138.11
TXN100684,GST,18.0,51.55
TXN100685,GST,18.0,194.03
TXN100686,GST,18.0,229.03
TXN100687,GST,18.0,155.48
TXN100688,GST,18.0,130.39
TXN100689,GST,18.0,144.01
TXN100690,GST,18.0,88.38
TXN100691,GST,18.0,227.57
TXN100692,GST,18.0,41.12
TXN100693,GST,18.0,7.56
TXN100695,GST,18.0,94.86
TXN100696,GST,18.0,94.69
TXN100697,GST,18.0,169.78
TXN100698,GST,18.0,83.2
TXN100699,GST,18.0,147.57
TXN100700,GST,18.0,32.59
TXN100701,GST,18.0,156.68
TXN100702,GST,18.0,81.12
TXN100703,GST,18.0,79.35
TXN100704,GST,18.0,131.5
TXN100705,GST,18.0,69.65
TXN100706,GST,18.0,14.75
TXN100707,GST,18.0,111.45
TXN100708,GST,18.0,82.4
TXN100709,GST,18.0,108.45
TXN100710,GST,18.0,146.06
TXN100711,GST,18.0,167.22
TXN100712,GST,18.0,109.99
TXN100713,GST,18.0,102.21
TXN100714,GST,18.0,88.6
TXN100715,GST,18.0,67.38
TXN100716,GST,18.0,65.06
TXN100717,GST,18.0,4.5
TXN100718,GST,18.0,149.49
TXN100719,GST,18.0,39.52
TXN100720,GST,18.0,171.44
TXN100721,GST,18.0,5.1
TXN100722,GST,18.0,185.02
TXN100723,GST,18.0,230.97
TXN100724,GST,18.0,171.21
TXN100725,GST,18.0,64.58
TXN100726,GST,18.0,94.67
TXN100727,GST,18.0,60.51
TXN100728,GST,18.0,62.13
TXN100729,GST,18.0,197.97
TXN100730,GST,18.0,249.09
TXN100731,GST,18.0,117.2
TXN100732,GST,18.0,111.41
TXN100733,GST,18.0,114.14
TXN100734,GST,18.0,44.92
TXN100735,GST,18.0,43.23
TXN100736,GST,18.0,138.3
TXN100737,GST,18.0,149.99
TXN100738,GST,18.0,80.31
TXN100739,GST,18.0,159.58
TXN100740,GST,18.0,75.38
TXN100741,GST,18.0,45.8
TXN100742,GST,18.0,30.68
TXN100743,GST,18.0,143.65
TXN100744,GST,18.0,150.06
TXN100745,GST,18.0,88.09
TXN100746,GST,18.0,163.46
TXN100747,GST,18.0,117.1
TXN100748,GST,18.0,73.79
TXN100749,GST,18.0,32.51
TXN100750,GST,18.0,76.27
TXN100751,GST,18.0,187.67
TXN100752,GST,18.0,87.07
TXN100753,GST,18.0,79.6
TXN100754,GST,18.0,164.05
TXN100755,GST,18.0,72.87
TXN100756,GST,18.0,81.45
TXN100757,GST,18.0,32.36
TXN100758,GST,18.0,129.93
TXN100759,GST,18.0,88.01
TXN100760,GST,18.0,0
TXN100761,GST,18.0,114.3
TXN100762,GST,18.0,158.9
TXN100763,GST,18.0,118.71
TXN100764,GST,18.0,139.92
TXN100765,GST,18.0,29.38
TXN100766,GST,18.0,109.03
TXN100767,GST,18.0,149.11
TXN100768,GST,18.0,123.57
TXN100769,GST,18.0,94.43
TXN100770,GST,18.0,62.43
TXN100771,GST,18.0,28.79
TXN100772,GST,18.0,137.55
TXN100773,GST,18.0,17.42
TXN100774,GST,18.0,201.8
TXN100775,GST,18.0,171.21
TXN100776,GST,18.0,25.27
TXN100777,GST,18.0,23.0
TXN100778,GST,18.0,185.42
TXN100779,GST,18.0,127.06
TXN100780,GST,18.0,136.09
TXN100781,GST,18.0,107.57
TXN100782,GST,18.0,159.75
TXN100783,GST,18.0,25.92
TXN100784,GST,18.0,60.66
TXN100786,GST,18.0,3.88
TXN100787,GST,18.0,101.49
TXN100788,GST,18.0,139.74
TXN100789,GST,18.0,10.97
TXN100790,GST,18.0,94.15
TXN100791,GST,18.0,74.91
TXN100792,GST,18.0,99.02
TXN100793,GST,18.0,41.79
TXN100794,GST,18.0,49.98
TXN100795,GST,18.0,17.27
TXN100797,GST,18.0,67.85
TXN100798,GST,18.0,160.6
TXN100799,GST,18.0,187.26
TXN100800,GST,18.0,203.81
TXN100801,GST,18.0,127.92
TXN100802,GST,18.0,39.55
TXN100803,GST,18.0,231.34
TXN100804,GST,18.0,117.37
TXN100805,GST,18.0,175.8
TXN100806,GST,18.0,126.22
TXN100807,GST,18.0,222.37
TXN100808,GST,18.0,142.44
TXN100809,GST,18.0,86.91
TXN100810,GST,18.0,142.5
TXN100811,GST,18.0,168.15
TXN100812,GST,18.0,92.13
TXN100813,GST,18.0,56.6
TXN100814,GST,18.0,252.61
TXN100815,GST,18.0,88.23
TXN100816,GST,18.0,54.67
TXN100817,GST,18.0,47.87
TXN100818,GST,18.0,226.49
TXN100819,GST,18.0,166.1
TXN100820,GST,18.0,90.36
TXN100821,GST,18.0,109.73
TXN100823,GST,18.0,100.07
TXN100824,GST,18.0,8.34
TXN100825,GST,18.0,146.52
TXN100826,GST,18.0,196.07
TXN100827,GST,18.0,22.16
TXN100828,GST,18.0,68.04
TXN100830,GST,18.0,33.12
TXN100831,GST,18.0,161.28
TXN100832,GST,18.0,41.8
TXN100833,GST,18.0,90.06
TXN100834,GST,18.0,178.01
TXN100835,GST,18.0,6.09
TXN100836,GST,18.0,24.6
TXN100837,GST,18.0,82.38
TXN100838,GST,18.0,133.99
TXN100839,GST,18.0,101.86
TXN100840,GST,18.0,3.34
TXN100841,GST,18.0,62.45
TXN100842,GST,18.0,217.39
TXN100843,GST,18.0,171.07
TXN100844,GST,18.0,49.9
TXN100845,GST,18.0,186.59
TXN100846,GST,18.0,188.45
TXN100848,GST,18.0,124.66
TXN100849,GST,18.0,114.65
TXN100850,GST,18.0,19.0
TXN100851,GST,18.0,207.76
TXN100852,GST,18.0,154.61
TXN100853,GST,18.0,120.41
TXN100854,GST,18.0,89.88
TXN100855,GST,18.0,79.81
TXN100856,GST,18.0,126.78
TXN100857,GST,18.0,107.31
TXN100858,GST,18.0,232.52
TXN100859,GST,18.0,70.23
TXN100860,GST,18.0,68.53
TXN100861,GST,18.0,166.93
TXN100863,GST,18.0,142.88
TXN100864,GST,18.0,113.67
TXN100865,GST,18.0,4.34
TXN100866,GST,18.0,169.47
TXN100867,GST,18.0,133.2
TXN100868,GST,18.0,30.17
TXN100869,GST,18.0,98.84
TXN100870,GST,18.0,146.02
TXN100871,GST,18.0,63.5
TXN100872,GST,18.0,4.58
TXN100873,GST,18.0,178.16
