journal_id,merchant_id,transaction_id,debit,credit,account,date
JNL400036,M008,TXN100036,0.0,49108.9,Merchant Payable,2026-08-11
JNL400037,M004,TXN100037,0.0,37312.61,Merchant Payable,2026-08-21
JNL400039,M003,TXN100039,0.0,5739.8,Merchant Payable,2026-08-11
JNL400040,M004,TXN100040,0.0,8193.77,Merchant Payable,2026-08-19
JNL400041,M003,TXN100041,0.0,15458.07,Merchant Payable,2026-08-17
JNL400042,M008,TXN100042,0.0,56701.95,Merchant Payable,2026-08-06
JNL400043,M006,TXN100043,0.0,5579.38,Merchant Payable,2026-08-14
JNL400044,M005,TXN100044,0.0,34348.78,Merchant Payable,2026-08-22
JNL400045,M008,TXN100045,0.0,1945.76,Merchant Payable,2026-08-19
JNL400046,M002,TXN100046,0.0,37614.94,Merchant Payable,2026-08-16
JNL400047,M002,TXN100047,0.0,8258.98,Merchant Payable,2026-08-03
JNL400048,M003,TXN100048,0.0,23128.23,Merchant Payable,2026-08-13
JNL400049,M003,TXN100049,0.0,52490.24,Merchant Payable,2026-08-22
JNL400050,M006,TXN100050,0.0,13082.14,Merchant Payable,2026-08-19
JNL400051,M006,TXN100051,0.0,3997.19,Merchant Payable,2026-08-10
JNL400052,M002,TXN100052,0.0,39213.76,Merchant Payable,2026-08-22
JNL400053,M001,TXN100053,0.0,45712.99,Merchant Payable,2026-08-09
JNL400054,M004,TXN100054,0.0,47884.65,Merchant Payable,2026-08-09
JNL400055,M003,TXN100055,0.0,31957.19,Merchant Payable,2026-08-07
JNL400056,M003,TXN100056,0.0,1355.11,Merchant Payable,2026-08-09
JNL400057,M003,TXN100057,0.0,15947.23,Merchant Payable,2026-08-06
JNL400058,M002,TXN100058,0.0,28316.01,Merchant Payable,2026-08-13
JNL400059,M008,TXN100059,0.0,29900.66,Merchant Payable,2026-08-21
JNL400060,M008,TXN100060,0.0,38045.31,Merchant Payable,2026-08-02
JNL400061,M007,TXN100061,0.0,39820.97,Merchant Payable,2026-08-17
JNL400062,M006,TXN100062,0.0,35749.79,Merchant Payable,2026-08-04
JNL400063,M007,TXN100063,0.0,57991.35,Merchant Payable,2026-08-18
JNL400064,M002,TXN100064,0.0,46828.23,Merchant Payable,2026-08-29
JNL400065,M008,TXN100065,0.0,52334.73,Merchant Payable,2026-08-15
JNL400066,M007,TXN100066,0.0,42492.09,Merchant Payable,2026-08-12
JNL400067,M003,TXN100067,0.0,40497.0,Merchant Payable,2026-08-17
JNL400068,M002,TXN100068,0.0,25723.69,Merchant Payable,2026-08-13
JNL400069,M007,TXN100069,0.0,20925.75,Merchant Payable,2026-08-15
JNL400070,M005,TXN100070,0.0,20856.7,Merchant Payable,2026-08-20
JNL400071,M008,TXN100071,0.0,13576.95,Merchant Payable,2026-08-05
JNL400072,M002,TXN100072,0.0,45046.81,Merchant Payable,2026-08-20
JNL400073,M005,TXN100073,0.0,2163.96,Merchant Payable,2026-08-10
JNL400074,M006,TXN100074,0.0,841.08,Merchant Payable,2026-08-06
JNL400075,M002,TXN100075,0.0,8780.1,Merchant Payable,2026-08-22
JNL400077,M006,TXN100077,0.0,45519.85,Merchant Payable,2026-08-20
JNL400078,M003,TXN100078,0.0,9658.67,Merchant Payable,2026-08-21
JNL400079,M005,TXN100079,0.0,26155.12,Merchant Payable,2026-08-20
JNL400080,M004,TXN100080,0.0,44497.29,Merchant Payable,2026-08-05
JNL400081,M005,TXN100081,0.0,39774.11,Merchant Payable,2026-08-20
JNL400082,M001,TXN100082,0.0,13274.53,Merchant Payable,2026-08-21
JNL400083,M005,TXN100083,0.0,55246.85,Merchant Payable,2026-08-06
JNL400084,M002,TXN100084,0.0,942.6,Merchant Payable,2026-08-15
JNL400085,M006,TXN100085,0.0,4606.88,Merchant Payable,2026-08-03
JNL400086,M007,TXN100086,0.0,41504.64,Merchant Payable,2026-08-15
JNL400087,M001,TXN100087,0.0,56522.19,Merchant Payable,2026-08-07
JNL400088,M002,TXN100088,0.0,26056.7,Merchant Payable,2026-08-05
JNL400089,M007,TXN100089,0.0,50815.44,Merchant Payable,2026-08-12
JNL400090,M002,TXN100090,0.0,30316.36,Merchant Payable,2026-08-05
JNL400092,M002,TXN100092,0.0,10871.28,Merchant Payable,2026-08-22
JNL400093,M006,TXN100093,0.0,50587.04,Merchant Payable,2026-08-22
JNL400094,M002,TXN100094,0.0,27888.05,Merchant Payable,2026-08-22
JNL400095,M006,TXN100095,0.0,29897.16,Merchant Payable,2026-08-11
JNL400096,M001,TXN100096,0.0,21870.88,Merchant Payable,2026-08-11
JNL400097,M007,TXN100097,0.0,27234.9,Merchant Payable,2026-08-19
JNL400098,M004,TXN100098,0.0,19232.41,Merchant Payable,2026-08-17
JNL400099,M008,TXN100099,0.0,6527.53,Merchant Payable,2026-08-12
JNL400100,M001,TXN100100,0.0,14853.53,Merchant Payable,2026-08-16
JNL400101,M006,TXN100101,0.0,22294.21,Merchant Payable,2026-08-11
JNL400102,M006,TXN100102,0.0,4308.02,Merchant Payable,2026-08-05
JNL400103,M005,TXN100103,0.0,15084.22,Merchant Payable,2026-08-21
JNL400104,M003,TXN100104,0.0,53890.21,Merchant Payable,2026-08-11
JNL400105,M003,TXN100105,0.0,35150.8,Merchant Payable,2026-08-04
JNL400106,M006,TXN100106,0.0,47626.99,Merchant Payable,2026-08-18
JNL400107,M006,TXN100107,0.0,1543.95,Merchant Payable,2026-08-11
JNL400108,M008,TXN100108,0.0,11694.68,Merchant Payable,2026-08-06
JNL400109,M002,TXN100109,0.0,30153.14,Merchant Payable,2026-08-19
JNL400110,M006,TXN100110,0.0,51291.12,Merchant Payable,2026-08-21
JNL400111,M003,TXN100111,0.0,9940.44,Merchant Payable,2026-08-21
JNL400112,M007,TXN100112,0.0,21544.52,Merchant Payable,2026-08-09
JNL400114,M006,TXN100114,0.0,39808.2,Merchant Payable,2026-08-20
JNL400115,M007,TXN100115,0.0,29223.15,Merchant Payable,2026-08-15
JNL400116,M008,TXN100116,0.0,51518.87,Merchant Payable,2026-08-19
JNL400117,M005,TXN100117,0.0,5345.44,Merchant Payable,2026-08-07
JNL400118,M007,TXN100118,0.0,5783.06,Merchant Payable,2026-08-09
JNL400119,M007,TXN100119,0.0,3559.42,Merchant Payable,2026-08-24
JNL400120,M006,TXN100120,0.0,13847.23,Merchant Payable,2026-08-12
JNL400121,M001,TXN100121,0.0,16813.15,Merchant Payable,2026-08-17
JNL400122,M001,TXN100122,0.0,53022.49,Merchant Payable,2026-08-02
JNL400123,M007,TXN100123,0.0,6909.05,Merchant Payable,2026-08-11
JNL400124,M001,TXN100124,0.0,14313.9,Merchant Payable,2026-08-22
JNL400125,M004,TXN100125,0.0,42426.07,Merchant Payable,2026-08-11
JNL400126,M003,TXN100126,0.0,39189.29,Merchant Payable,2026-08-04
JNL400127,M001,TXN100127,0.0,23130.37,Merchant Payable,2026-08-17
JNL400128,M006,TXN100128,0.0,15191.1,Merchant Payable,2026-08-02
JNL400129,M004,TXN100129,0.0,43214.74,Merchant Payable,2026-08-22
JNL400130,M006,TXN100130,0.0,32139.25,Merchant Payable,2026-08-22
JNL400131,M008,TXN100131,0.0,37367.77,Merchant Payable,2026-08-06
JNL400132,M005,TXN100132,0.0,12164.4,Merchant Payable,2026-08-08
JNL400133,M007,TXN100133,0.0,57673.03,Merchant Payable,2026-08-19
JNL400134,M004,TXN100134,0.0,17167.94,Merchant Payable,2026-08-03
JNL400135,M002,TXN100135,0.0,47193.18,Merchant Payable,2026-08-15
JNL400136,M006,TXN100136,0.0,56988.15,Merchant Payable,2026-08-17
JNL400137,M002,TXN100137,0.0,42971.27,Merchant Payable,2026-08-04
JNL400139,M005,TXN100139,0.0,26317.48,Merchant Payable,2026-08-15
JNL400140,M008,TXN100140,0.0,2957.57,Merchant Payable,2026-08-13
JNL400141,M001,TXN100141,0.0,4837.22,Merchant Payable,2026-08-22
JNL400142,M001,TXN100142,0.0,8765.87,Merchant Payable,2026-08-21
JNL400143,M003,TXN100143,0.0,4405.86,Merchant Payable,2026-08-22
JNL400144,M001,TXN100144,0.0,35579.0,Merchant Payable,2026-08-19
JNL400145,M003,TXN100145,0.0,31053.32,Merchant Payable,2026-08-14
JNL400146,M003,TXN100146,0.0,29558.94,Merchant Payable,2026-08-14
JNL400147,M005,TXN100147,0.0,41269.79,Merchant Payable,2026-08-11
JNL400148,M002,TXN100148,0.0,8421.01,Merchant Payable,2026-08-06
JNL400149,M006,TXN100149,0.0,39495.4,Merchant Payable,2026-08-04
JNL400150,M006,TXN100150,0.0,29572.98,Merchant Payable,2026-08-05
JNL400151,M006,TXN100151,0.0,32603.45,Merchant Payable,2026-08-13
JNL400152,M002,TXN100152,0.0,4332.36,Merchant Payable,2026-08-14
JNL400153,M007,TXN100153,0.0,48087.11,Merchant Payable,2026-08-04
JNL400154,M008,TXN100154,0.0,27681.77,Merchant Payable,2026-08-18
JNL400155,M003,TXN100155,0.0,25689.62,Merchant Payable,2026-08-03
JNL400156,M005,TXN100156,0.0,10024.92,Merchant Payable,2026-08-12
JNL400157,M005,TXN100157,0.0,49553.89,Merchant Payable,2026-08-10
JNL400158,M003,TXN100158,0.0,36897.22,Merchant Payable,2026-08-21
JNL400159,M003,TXN100159,0.0,10461.98,Merchant Payable,2026-08-21
JNL400160,M001,TXN100160,0.0,48346.67,Merchant Payable,2026-08-02
JNL400161,M004,TXN100161,0.0,45197.72,Merchant Payable,2026-08-15
JNL400162,M008,TXN100162,0.0,52387.6,Merchant Payable,2026-08-19
JNL400163,M007,TXN100163,0.0,17678.21,Merchant Payable,2026-08-04
JNL400164,M008,TXN100164,0.0,24750.23,Merchant Payable,2026-08-16
JNL400165,M006,TXN100165,0.0,50426.93,Merchant Payable,2026-08-12
JNL400166,M003,TXN100166,0.0,44798.44,Merchant Payable,2026-08-18
JNL400167,M004,TXN100167,0.0,27681.65,Merchant Payable,2026-08-10
JNL400168,M002,TXN100168,0.0,3447.62,Merchant Payable,2026-08-14
JNL400169,M003,TXN100169,0.0,47874.8,Merchant Payable,2026-08-20
JNL400170,M003,TXN100170,0.0,29513.6,Merchant Payable,2026-08-18
JNL400171,M008,TXN100171,0.0,1627.8,Merchant Payable,2026-08-14
JNL400172,M001,TXN100172,0.0,3416.23,Merchant Payable,2026-08-17
JNL400173,M005,TXN100173,0.0,31575.83,Merchant Payable,2026-08-07
JNL400175,M006,TXN100175,0.0,32557.14,Merchant Payable,2026-08-04
JNL400176,M005,TXN100176,0.0,48294.84,Merchant Payable,2026-08-21
JNL400177,M003,TXN100177,0.0,57288.33,Merchant Payable,2026-08-14
JNL400178,M003,TXN100178,0.0,12084.67,Merchant Payable,2026-08-19
JNL400179,M003,TXN100179,0.0,42056.4,Merchant Payable,2026-08-17
JNL400180,M006,TXN100180,0.0,32590.87,Merchant Payable,2026-08-12
JNL400181,M006,TXN100181,0.0,29895.89,Merchant Payable,2026-08-18
JNL400182,M008,TXN100182,0.0,48111.13,Merchant Payable,2026-08-13
JNL400183,M007,TXN100183,0.0,34230.82,Merchant Payable,2026-08-22
JNL400184,M005,TXN100184,0.0,56354.19,Merchant Payable,2026-08-20
JNL400185,M003,TXN100185,0.0,30909.67,Merchant Payable,2026-08-21
JNL400186,M004,TXN100186,0.0,1593.75,Merchant Payable,2026-08-12
JNL400187,M004,TXN100187,0.0,24411.74,Merchant Payable,2026-08-21
JNL400188,M004,TXN100188,0.0,32965.71,Merchant Payable,2026-08-17
JNL400189,M006,TXN100189,0.0,39503.82,Merchant Payable,2026-08-22
JNL400190,M004,TXN100190,0.0,16753.79,Merchant Payable,2026-08-11
JNL400191,M004,TXN100191,0.0,40725.58,Merchant Payable,2026-08-31
JNL400192,M005,TXN100192,0.0,7999.72,Merchant Payable,2026-08-19
JNL400194,M008,TXN100194,0.0,12978.06,Merchant Payable,2026-08-19
JNL400196,M004,TXN100196,0.0,37677.17,Merchant Payable,2026-08-03
JNL400197,M008,TXN100197,0.0,6354.9,Merchant Payable,2026-08-06
JNL400198,M007,TXN100198,0.0,38574.29,Merchant Payable,2026-08-17
JNL400199,M001,TXN100199,0.0,34199.35,Merchant Payable,2026-08-04
JNL400200,M003,TXN100200,0.0,24831.41,Merchant Payable,2026-08-12
JNL400201,M005,TXN100201,0.0,51274.15,Merchant Payable,2026-08-02
JNL400202,M008,TXN100202,0.0,57959.71,Merchant Payable,2026-08-19
JNL400203,M005,TXN100203,0.0,11655.83,Merchant Payable,2026-08-05
JNL400204,M005,TXN100204,0.0,42113.23,Merchant Payable,2026-08-02
JNL400205,M004,TXN100205,0.0,10719.87,Merchant Payable,2026-08-22
JNL400206,M002,TXN100206,0.0,23909.97,Merchant Payable,2026-08-05
JNL400207,M006,TXN100207,0.0,54736.39,Merchant Payable,2026-08-02
JNL400208,M008,TXN100208,0.0,44491.79,Merchant Payable,2026-08-12
JNL400209,M005,TXN100209,0.0,38352.89,Merchant Payable,2026-08-09
JNL400210,M008,TXN100210,0.0,18172.35,Merchant Payable,2026-08-14
JNL400212,M003,TXN100212,0.0,27187.67,Merchant Payable,2026-08-21
JNL400213,M004,TXN100213,0.0,40435.09,Merchant Payable,2026-08-21
JNL400214,M001,TXN100214,0.0,48551.84,Merchant Payable,2026-08-18
JNL400215,M003,TXN100215,0.0,19602.44,Merchant Payable,2026-08-18
JNL400216,M008,TXN100216,0.0,5794.22,Merchant Payable,2026-08-18
JNL400217,M003,TXN100217,0.0,30386.32,Merchant Payable,2026-08-16
JNL400218,M005,TXN100218,0.0,42384.44,Merchant Payable,2026-08-14
JNL400219,M002,TXN100219,0.0,3137.06,Merchant Payable,2026-08-13
JNL400220,M002,TXN100220,0.0,58106.82,Merchant Payable,2026-08-17
JNL400221,M003,TXN100221,0.0,45622.97,Merchant Payable,2026-08-22
JNL400222,M008,TXN100222,0.0,51256.34,Merchant Payable,2026-08-14
JNL400223,M006,TXN100223,0.0,7364.23,Merchant Payable,2026-08-19
JNL400224,M004,TXN100224,0.0,49153.6,Merchant Payable,2026-08-02
JNL400225,M007,TXN100225,0.0,48088.33,Merchant Payable,2026-08-09
JNL400226,M005,TXN100226,0.0,11404.95,Merchant Payable,2026-08-05
JNL400227,M001,TXN100227,0.0,14443.05,Merchant Payable,2026-08-04
JNL400228,M008,TXN100228,0.0,35385.59,Merchant Payable,2026-08-03
JNL400229,M008,TXN100229,0.0,14279.36,Merchant Payable,2026-08-08
JNL400230,M006,TXN100230,0.0,14220.33,Merchant Payable,2026-08-06
JNL400231,M007,TXN100231,0.0,17378.73,Merchant Payable,2026-08-03
JNL400232,M008,TXN100232,0.0,3221.99,Merchant Payable,2026-08-13
JNL400233,M007,TXN100233,0.0,24086.36,Merchant Payable,2026-08-11
JNL400234,M004,TXN100234,0.0,49999.96,Merchant Payable,2026-08-11
JNL400235,M001,TXN100235,0.0,33101.99,Merchant Payable,2026-08-15
JNL400236,M007,TXN100236,0.0,14522.55,Merchant Payable,2026-08-08
JNL400237,M002,TXN100237,0.0,31785.89,Merchant Payable,2026-08-08
JNL400238,M004,TXN100238,0.0,28434.89,Merchant Payable,2026-08-12
JNL400239,M004,TXN100239,0.0,56571.65,Merchant Payable,2026-08-05
JNL400240,M007,TXN100240,0.0,53394.41,Merchant Payable,2026-08-19
JNL400241,M008,TXN100241,0.0,31808.86,Merchant Payable,2026-08-13
JNL400242,M008,TXN100242,0.0,44951.4,Merchant Payable,2026-08-12
JNL400243,M007,TXN100243,0.0,3123.36,Merchant Payable,2026-08-09
JNL400244,M005,TXN100244,0.0,32538.63,Merchant Payable,2026-08-20
JNL400245,M003,TXN100245,0.0,11917.72,Merchant Payable,2026-08-09
JNL400246,M008,TXN100246,0.0,32633.24,Merchant Payable,2026-08-12
JNL400247,M008,TXN100247,0.0,10419.79,Merchant Payable,2026-08-13
JNL400248,M001,TXN100248,0.0,49148.89,Merchant Payable,2026-08-04
JNL400249,M007,TXN100249,0.0,8430.04,Merchant Payable,2026-08-22
JNL400250,M004,TXN100250,0.0,29970.23,Merchant Payable,2026-08-13
JNL400251,M008,TXN100251,0.0,1403.2,Merchant Payable,2026-08-19
JNL400252,M001,TXN100252,0.0,31189.91,Merchant Payable,2026-08-10
JNL400253,M007,TXN100253,0.0,47094.22,Merchant Payable,2026-08-07
JNL400254,M004,TXN100254,0.0,11678.04,Merchant Payable,2026-08-18
JNL400255,M007,TXN100255,0.0,5049.05,Merchant Payable,2026-08-14
JNL400256,M004,TXN100256,0.0,17479.84,Merchant Payable,2026-08-04
JNL400257,M007,TXN100257,0.0,22288.7,Merchant Payable,2026-08-17
JNL400258,M003,TXN100258,0.0,5305.99,Merchant Payable,2026-08-15
JNL400259,M004,TXN100259,0.0,12813.86,Merchant Payable,2026-08-20
JNL400260,M002,TXN100260,0.0,40479.26,Merchant Payable,2026-08-10
JNL400261,M003,TXN100261,0.0,54590.38,Merchant Payable,2026-08-12
JNL400263,M007,TXN100263,0.0,39443.15,Merchant Payable,2026-08-19
JNL400264,M001,TXN100264,0.0,6150.55,Merchant Payable,2026-08-09
JNL400265,M006,TXN100265,0.0,2204.52,Merchant Payable,2026-08-10
JNL400266,M007,TXN100266,0.0,11219.73,Merchant Payable,2026-08-20
JNL400267,M005,TXN100267,0.0,46715.96,Merchant Payable,2026-08-04
JNL400268,M007,TXN100268,0.0,41630.58,Merchant Payable,2026-08-22
JNL400269,M006,TXN100269,0.0,6663.83,Merchant Payable,2026-08-02
JNL400270,M005,TXN100270,0.0,6408.78,Merchant Payable,2026-08-04
JNL400271,M007,TXN100271,0.0,6452.6,Merchant Payable,2026-08-04
JNL400272,M006,TXN100272,0.0,50556.38,Merchant Payable,2026-08-16
JNL400273,M004,TXN100273,0.0,33830.8,Merchant Payable,2026-08-07
JNL400274,M003,TXN100274,0.0,16154.1,Merchant Payable,2026-08-10
JNL400275,M003,TXN100275,0.0,25809.5,Merchant Payable,2026-08-15
JNL400276,M006,TXN100276,0.0,15078.02,Merchant Payable,2026-08-09
JNL400277,M004,TXN100277,0.0,13635.83,Merchant Payable,2026-08-06
JNL400278,M007,TXN100278,0.0,46973.29,Merchant Payable,2026-08-12
JNL400279,M003,TXN100279,0.0,17989.93,Merchant Payable,2026-08-21
JNL400280,M003,TXN100280,0.0,56676.22,Merchant Payable,2026-08-12
JNL400281,M004,TXN100281,0.0,19486.54,Merchant Payable,2026-08-10
JNL400282,M003,TXN100282,0.0,40199.44,Merchant Payable,2026-08-19
JNL400283,M008,TXN100283,0.0,47056.52,Merchant Payable,2026-08-04
JNL400284,M003,TXN100284,0.0,37381.48,Merchant Payable,2026-08-09
JNL400285,M007,TXN100285,0.0,46105.98,Merchant Payable,2026-08-04
JNL400286,M007,TXN100286,0.0,31378.18,Merchant Payable,2026-08-15
JNL400287,M002,TXN100287,0.0,45483.01,Merchant Payable,2026-08-13
JNL400288,M006,TXN100288,0.0,56469.18,Merchant Payable,2026-08-15
JNL400289,M005,TXN100289,0.0,13346.71,Merchant Payable,2026-09-11
JNL400291,M006,TXN100291,0.0,58323.39,Merchant Payable,2026-08-17
JNL400292,M002,TXN100292,0.0,7272.42,Merchant Payable,2026-08-06
JNL400293,M008,TXN100293,0.0,46273.27,Merchant Payable,2026-08-18
JNL400294,M008,TXN100294,0.0,42563.86,Merchant Payable,2026-08-16
JNL400295,M006,TXN100295,0.0,38049.58,Merchant Payable,2026-08-07
JNL400296,M003,TXN100296,0.0,19769.73,Merchant Payable,2026-08-15
JNL400297,M003,TXN100297,0.0,11346.59,Merchant Payable,2026-08-15
JNL400298,M008,TXN100298,0.0,34692.58,Merchant Payable,2026-08-14
JNL400299,M002,TXN100299,0.0,27917.85,Merchant Payable,2026-08-19
JNL400300,M002,TXN100300,0.0,15819.18,Merchant Payable,2026-08-17
JNL400302,M008,TXN100302,0.0,36528.61,Merchant Payable,2026-09-04
JNL400303,M006,TXN100303,0.0,7319.51,Merchant Payable,2026-08-11
JNL400304,M003,TXN100304,0.0,30245.19,Merchant Payable,2026-08-15
JNL400305,M008,TXN100305,0.0,37587.63,Merchant Payable,2026-08-22
JNL400306,M008,TXN100306,0.0,17347.95,Merchant Payable,2026-08-07
JNL400307,M006,TXN100307,0.0,55664.87,Merchant Payable,2026-08-17
JNL400308,M008,TXN100308,0.0,24371.48,Merchant Payable,2026-08-22
JNL400309,M002,TXN100309,0.0,33524.79,Merchant Payable,2026-08-09
JNL400310,M004,TXN100310,0.0,31828.34,Merchant Payable,2026-08-07
JNL400311,M002,TXN100311,0.0,33952.25,Merchant Payable,2026-08-10
JNL400312,M008,TXN100312,0.0,32382.82,Merchant Payable,2026-08-15
JNL400313,M005,TXN100313,0.0,51162.15,Merchant Payable,2026-08-03
JNL400314,M004,TXN100314,0.0,12724.15,Merchant Payable,2026-08-20
JNL400315,M003,TXN100315,0.0,36380.47,Merchant Payable,2026-08-08
JNL400316,M005,TXN100316,0.0,35061.14,Merchant Payable,2026-08-07
JNL400317,M002,TXN100317,0.0,8015.5,Merchant Payable,2026-08-15
JNL400318,M003,TXN100318,0.0,41928.43,Merchant Payable,2026-08-09
JNL400319,M005,TXN100319,0.0,36854.28,Merchant Payable,2026-08-14
JNL400320,M007,TXN100320,0.0,30293.79,Merchant Payable,2026-08-10
JNL400321,M008,TXN100321,0.0,19593.07,Merchant Payable,2026-08-02
JNL400322,M006,TXN100322,0.0,49767.31,Merchant Payable,2026-08-19
JNL400323,M004,TXN100323,0.0,29327.97,Merchant Payable,2026-08-12
JNL400324,M008,TXN100324,0.0,46593.63,Merchant Payable,2026-08-03
JNL400325,M003,TXN100325,0.0,26228.67,Merchant Payable,2026-08-02
JNL400326,M003,TXN100326,0.0,51424.89,Merchant Payable,2026-08-10
JNL400327,M005,TXN100327,0.0,5282.97,Merchant Payable,2026-08-22
JNL400328,M004,TXN100328,0.0,25510.75,Merchant Payable,2026-08-04
JNL400329,M004,TXN100329,0.0,15741.43,Merchant Payable,2026-08-06
JNL400330,M001,TXN100330,0.0,952.62,Merchant Payable,2026-08-12
JNL400331,M008,TXN100331,0.0,4619.93,Merchant Payable,2026-08-14
JNL400332,M006,TXN100332,0.0,21794.48,Merchant Payable,2026-08-11
JNL400333,M003,TXN100333,0.0,4474.5,Merchant Payable,2026-09-13
JNL400334,M008,TXN100334,0.0,20699.69,Merchant Payable,2026-08-08
JNL400335,M004,TXN100335,0.0,5543.1,Merchant Payable,2026-08-05
JNL400336,M006,TXN100336,0.0,56326.11,Merchant Payable,2026-08-12
JNL400337,M002,TXN100337,0.0,14990.33,Merchant Payable,2026-08-21
JNL400338,M001,TXN100338,0.0,49660.64,Merchant Payable,2026-08-11
JNL400339,M007,TXN100339,0.0,17568.82,Merchant Payable,2026-08-03
JNL400340,M002,TXN100340,0.0,14576.36,Merchant Payable,2026-08-22
JNL400341,M006,TXN100341,0.0,54626.2,Merchant Payable,2026-08-06
JNL400342,M006,TXN100342,0.0,32159.1,Merchant Payable,2026-08-07
JNL400343,M002,TXN100343,0.0,1296.86,Merchant Payable,2026-08-08
JNL400344,M005,TXN100344,0.0,36898.19,Merchant Payable,2026-08-18
JNL400345,M002,TXN100345,0.0,37914.87,Merchant Payable,2026-08-19
JNL400346,M002,TXN100346,0.0,18597.53,Merchant Payable,2026-08-18
JNL400347,M007,TXN100347,0.0,34388.96,Merchant Payable,2026-08-22
JNL400348,M005,TXN100348,0.0,40959.18,Merchant Payable,2026-08-09
JNL400349,M007,TXN100349,0.0,7186.57,Merchant Payable,2026-08-21
JNL400351,M008,TXN100351,0.0,56125.29,Merchant Payable,2026-08-18
JNL400352,M006,TXN100352,0.0,7845.23,Merchant Payable,2026-08-10
JNL400353,M006,TXN100353,0.0,47274.72,Merchant Payable,2026-08-10
JNL400354,M008,TXN100354,0.0,26836.74,Merchant Payable,2026-08-13
JNL400355,M006,TXN100355,0.0,9252.95,Merchant Payable,2026-08-05
JNL400356,M001,TXN100356,0.0,50286.84,Merchant Payable,2026-08-02
JNL400357,M006,TXN100357,0.0,22688.24,Merchant Payable,2026-08-06
JNL400358,M004,TXN100358,0.0,19248.46,Merchant Payable,2026-08-15
JNL400359,M002,TXN100359,0.0,33883.41,Merchant Payable,2026-08-05
JNL400361,M008,TXN100361,0.0,51135.72,Merchant Payable,2026-08-11
JNL400362,M004,TXN100362,0.0,17487.63,Merchant Payable,2026-08-11
JNL400363,M008,TXN100363,0.0,21985.88,Merchant Payable,2026-08-17
JNL400364,M003,TXN100364,0.0,863.83,Merchant Payable,2026-08-15
JNL400365,M006,TXN100365,0.0,571.89,Merchant Payable,2026-08-14
JNL400366,M004,TXN100366,0.0,31374.0,Merchant Payable,2026-08-09
JNL400367,M003,TXN100367,0.0,41943.44,Merchant Payable,2026-08-04
JNL400368,M006,TXN100368,0.0,27063.68,Merchant Payable,2026-08-04
JNL400369,M007,TXN100369,0.0,4599.52,Merchant Payable,2026-08-20
JNL400370,M005,TXN100370,0.0,15605.28,Merchant Payable,2026-08-12
JNL400371,M008,TXN100371,0.0,16362.5,Merchant Payable,2026-08-04
JNL400372,M003,TXN100372,0.0,6644.1,Merchant Payable,2026-08-19
JNL400373,M006,TXN100373,0.0,56406.46,Merchant Payable,2026-08-08
