bank_reference,settlement_id,amount,transaction_date,bank_status
BANKREF300053,SETL200053,45712.99,2026-08-10,CREDITED
BANKREF300054,SETL200054,47563.62,2026-08-10,CREDITED
BANKREF300055,SETL200055,31957.19,2026-08-08,CREDITED
BANKREF300056,SETL200056,1355.11,2026-08-10,CREDITED
BANKREF300057,SETL200057,15947.23,2026-08-07,CREDITED
BANKREF300058,SETL200058,28316.01,2026-08-14,CREDITED
BANKREF300059,SETL200059,29900.66,2026-08-22,CREDITED
BANKREF300060,SETL200060,38045.31,2026-08-03,CREDITED
BANKREF300061,SETL200061,39820.97,2026-08-18,CREDITED
BANKREF300062,SETL200062,35749.79,2026-08-05,CREDITED
BANKREF300063,SETL200063,57991.35,2026-08-19,CREDITED
BANKREF300064,SETL200064,46828.23,2026-08-30,CREDITED
BANKREF300065,SETL200065,52334.73,2026-08-16,CREDITED
BANKREF300066,SETL200066,42492.09,2026-08-13,CREDITED
BANKREF300067,SETL200067,40497.0,2026-08-18,CREDITED
BANKREF300068,SETL200068,25968.42,2026-08-14,CREDITED
BANKREF300069,SETL200069,20925.75,2026-08-16,CREDITED
BANKREF300070,SETL200070,20856.7,2026-08-21,CREDITED
BANKREF300071,SETL200071,13576.95,2026-08-06,CREDITED
BANKREF300072,SETL200072,45046.81,2026-08-21,CREDITED
BANKREF300073,SETL200073,2163.96,2026-08-11,CREDITED
BANKREF300074,SETL200074,841.08,2026-08-07,CREDITED
BANKREF300075,SETL200075,8780.1,2026-08-23,CREDITED
BANKREF300077,SETL200077,45519.85,2026-08-21,CREDITED
BANKREF300079,SETL200079,26155.12,2026-08-21,CREDITED
BANKREF300080,SETL200080,44497.29,2026-08-06,CREDITED
BANKREF300081,SETL200081,39774.11,2026-08-21,CREDITED
BANKREF300082,SETL200082,13274.53,2026-08-22,CREDITED
BANKREF300083,SETL200083,55246.85,2026-08-07,CREDITED
BANKREF300084,SETL200084,942.6,2026-08-16,CREDITED
BANKREF300085,SETL200085,4606.88,2026-08-04,CREDITED
BANKREF300086,SETL200086,41504.64,2026-08-16,CREDITED
BANKREF300087,SETL200087,56522.19,2026-08-08,CREDITED
BANKREF300088,SETL200088,26056.7,2026-08-06,CREDITED
BANKREF300089,SETL200089,50815.44,2026-08-13,CREDITED
BANKREF300090,SETL200090,30544.84,2026-08-06,CREDITED
BANKREF300092,SETL200092,10871.28,2026-08-23,CREDITED
BANKREF300093,SETL200093,50587.04,2026-08-23,CREDITED
BANKREF300094,SETL200094,27888.05,2026-08-23,CREDITED
BANKREF300095,SETL200095,29897.16,2026-08-12,CREDITED
BANKREF300096,SETL200096,21870.88,2026-08-12,CREDITED
BANKREF300097,SETL200097,27234.9,2026-08-20,CREDITED
BANKREF300098,SETL200098,19232.41,2026-08-18,CREDITED
BANKREF300099,SETL200099,6527.53,2026-08-13,CREDITED
BANKREF300100,SETL200100,14853.53,2026-08-17,CREDITED
BANKREF300101,SETL200101,22101.14,2026-08-12,CREDITED
BANKREF300102,SETL200102,4308.02,2026-08-06,CREDITED
BANKREF300103,SETL200103,15084.22,2026-08-22,CREDITED
BANKREF300104,SETL200104,53890.21,2026-08-12,CREDITED
BANKREF300105,SETL200105,35150.8,2026-08-05,CREDITED
BANKREF300106,SETL200106,47626.99,2026-08-19,CREDITED
BANKREF300107,SETL200107,1543.95,2026-08-12,CREDITED
BANKREF300108,SETL200108,11694.68,2026-08-07,CREDITED
BANKREF300109,SETL200109,30153.14,2026-08-20,CREDITED
BANKREF300110,SETL200110,51291.12,2026-08-22,CREDITED
BANKREF300111,SETL200111,9940.44,2026-08-22,CREDITED
BANKREF300112,SETL200112,21544.52,2026-08-10,CREDITED
BANKREF300114,SETL200114,39808.2,2026-08-21,CREDITED
BANKREF300115,SETL200115,29559.06,2026-08-16,CREDITED
BANKREF300116,SETL200116,51518.87,2026-08-20,CREDITED
BANKREF300117,SETL200117,5345.44,2026-08-08,CREDITED
BANKREF300118,SETL200118,5783.06,2026-08-10,CREDITED
BANKREF300119,SETL200119,3559.42,2026-08-25,CREDITED
BANKREF300120,SETL200120,13503.52,2026-08-13,CREDITED
BANKREF300121,SETL200121,16813.15,2026-08-18,CREDITED
BANKREF300122,SETL200122,53022.49,2026-08-03,CREDITED
BANKREF300123,SETL200123,6909.05,2026-08-12,CREDITED
BANKREF300124,SETL200124,14103.91,2026-08-23,CREDITED
BANKREF300125,SETL200125,42375.52,2026-08-12,CREDITED
BANKREF300127,SETL200127,23130.37,2026-08-18,CREDITED
BANKREF300128,SETL200128,15191.1,2026-08-03,CREDITED
BANKREF300129,SETL200129,43214.74,2026-08-23,CREDITED
BANKREF300130,SETL200130,32139.25,2026-08-23,CREDITED
BANKREF300131,SETL200131,37367.77,2026-08-07,CREDITED
BANKREF300133,SETL200133,57673.03,2026-08-20,CREDITED
BANKREF300134,SETL200134,17167.94,2026-08-04,CREDITED
BANKREF300135,SETL200135,47193.18,2026-08-16,CREDITED
BANKREF300136,SETL200136,56988.15,2026-08-18,CREDITED
BANKREF300137,SETL200137,42971.27,2026-08-05,CREDITED
BANKREF300141,SETL200141,4837.22,2026-08-23,CREDITED
BANKREF300142,SETL200142,8765.87,2026-08-22,CREDITED
BANKREF300143,SETL200143,4405.86,2026-08-23,CREDITED
BANKREF300144,SETL200144,35579.0,2026-08-20,CREDITED
BANKREF300145,SETL200145,31330.67,2026-08-15,CREDITED
BANKREF300146,SETL200146,29558.94,2026-08-15,CREDITED
BANKREF300147,SETL200147,41269.79,2026-08-12,CREDITED
BANKREF300148,SETL200148,8421.01,2026-08-07,CREDITED
BANKREF300149,SETL200149,39495.4,2026-08-05,CREDITED
BANKREF300150,SETL200150,29572.98,2026-08-06,CREDITED
BANKREF300151,SETL200151,32603.45,2026-08-14,CREDITED
BANKREF300152,SETL200152,4332.36,2026-08-15,CREDITED
BANKREF300153,SETL200153,48087.11,2026-08-05,CREDITED
BANKREF300154,SETL200154,27681.77,2026-08-19,CREDITED
BANKREF300155,SETL200155,25689.62,2026-08-04,CREDITED
BANKREF300156,SETL200156,10024.92,2026-08-13,CREDITED
BANKREF300157,SETL200157,49553.89,2026-08-11,CREDITED
BANKREF300158,SETL200158,36897.22,2026-08-22,CREDITED
BANKREF300159,SETL200159,10461.98,2026-08-22,CREDITED
BANKREF300160,SETL200160,48346.67,2026-08-03,CREDITED
BANKREF300161,SETL200161,45197.72,2026-08-16,CREDITED
BANKREF300162,SETL200162,52662.27,2026-08-20,CREDITED
BANKREF300163,SETL200163,17678.21,2026-08-05,CREDITED
BANKREF300164,SETL200164,24750.23,2026-08-17,CREDITED
BANKREF300165,SETL200165,50426.93,2026-08-13,CREDITED
BANKREF300166,SETL200166,44798.44,2026-08-19,CREDITED
BANKREF300167,SETL200167,27681.65,2026-08-11,CREDITED
BANKREF300168,SETL200168,3447.62,2026-08-15,CREDITED
BANKREF300169,SETL200169,47874.8,2026-08-21,CREDITED
BANKREF300170,SETL200170,29513.6,2026-08-19,CREDITED
BANKREF300171,SETL200171,1837.83,2026-08-15,CREDITED
BANKREF300172,SETL200172,3416.23,2026-08-18,CREDITED
BANKREF300173,SETL200173,31575.83,2026-08-08,CREDITED
BANKREF300175,SETL200175,32557.14,2026-08-05,CREDITED
BANKREF300176,SETL200176,48294.84,2026-08-22,CREDITED
BANKREF300177,SETL200177,57288.33,2026-08-15,CREDITED
BANKREF300178,SETL200178,12084.67,2026-08-20,CREDITED
BANKREF300179,SETL200179,42056.4,2026-08-18,CREDITED
BANKREF300180,SETL200180,32590.87,2026-08-13,CREDITED
BANKREF300181,SETL200181,29895.89,2026-08-19,CREDITED
BANKREF300182,SETL200182,48111.13,2026-08-14,CREDITED
BANKREF300183,SETL200183,34230.82,2026-08-23,CREDITED
BANKREF300184,SETL200184,56354.19,2026-08-21,CREDITED
BANKREF300185,SETL200185,30909.67,2026-08-22,CREDITED
BANKREF300186,SETL200186,1593.75,2026-08-13,CREDITED
BANKREF300187,SETL200187,24411.74,2026-08-22,CREDITED
BANKREF300188,SETL200188,32965.71,2026-08-18,CREDITED
BANKREF300189,SETL200189,39503.82,2026-08-23,CREDITED
BANKREF300190,SETL200190,16753.79,2026-08-12,CREDITED
BANKREF300191,SETL200191,40725.58,2026-09-01,CREDITED
BANKREF300192,SETL200192,7999.72,2026-08-20,CREDITED
BANKREF300194,SETL200194,12978.06,2026-08-20,CREDITED
BANKREF300196,SETL200196,37677.17,2026-08-04,CREDITED
BANKREF300197,SETL200197,6354.9,2026-08-07,CREDITED
BANKREF300198,SETL200198,38574.29,2026-08-18,CREDITED
BANKREF300199,SETL200199,34199.35,2026-08-05,CREDITED
BANKREF300200,SETL200200,24831.41,2026-08-13,CREDITED
BANKREF300201,SETL200201,51274.15,2026-08-03,CREDITED
BANKREF300202,SETL200202,57959.71,2026-08-20,CREDITED
BANKREF300203,SETL200203,11655.83,2026-08-06,CREDITED
BANKREF300204,SETL200204,42113.23,2026-08-03,CREDITED
BANKREF300205,SETL200205,10719.87,2026-08-23,CREDITED
BANKREF300206,SETL200206,23909.97,2026-08-06,CREDITED
BANKREF300207,SETL200207,54736.39,2026-08-03,CREDITED
BANKREF300208,SETL200208,44491.79,2026-08-13,CREDITED
BANKREF300209,SETL200209,38352.89,2026-08-10,CREDITED
BANKREF300210,SETL200210,18172.35,2026-08-15,CREDITED
BANKREF300212,SETL200212,26992.12,2026-08-22,CREDITED
BANKREF300213,SETL200213,40435.09,2026-08-22,CREDITED
BANKREF300214,SETL200214,48551.84,2026-08-19,CREDITED
BANKREF300215,SETL200215,19602.44,2026-08-19,CREDITED
BANKREF300216,SETL200216,5794.22,2026-08-19,CREDITED
BANKREF300217,SETL200217,30386.32,2026-08-17,CREDITED
BANKREF300218,SETL200218,42384.44,2026-08-15,CREDITED
BANKREF300219,SETL200219,3137.06,2026-08-14,CREDITED
BANKREF300220,SETL200220,58106.82,2026-08-18,CREDITED
BANKREF300221,SETL200221,45622.97,2026-08-23,CREDITED
BANKREF300222,SETL200222,51256.34,2026-08-15,CREDITED
BANKREF300223,SETL200223,7364.23,2026-08-20,CREDITED
BANKREF300224,SETL200224,49153.6,2026-08-03,CREDITED
BANKREF300225,SETL200225,48088.33,2026-08-10,CREDITED
BANKREF300226,SETL200226,11404.95,2026-08-06,CREDITED
BANKREF300227,SETL200227,14443.05,2026-08-05,CREDITED
BANKREF300228,SETL200228,35385.59,2026-08-04,CREDITED
BANKREF300229,SETL200229,14279.36,2026-08-09,CREDITED
BANKREF300230,SETL200230,14220.33,2026-08-07,CREDITED
BANKREF300231,SETL200231,17378.73,2026-08-04,CREDITED
BANKREF300232,SETL200232,3221.99,2026-08-14,CREDITED
BANKREF300233,SETL200233,24086.36,2026-08-12,CREDITED
BANKREF300234,SETL200234,49999.96,2026-08-12,CREDITED
BANKREF300235,SETL200235,33101.99,2026-08-16,CREDITED
BANKREF300236,SETL200236,14522.55,2026-08-09,CREDITED
BANKREF300237,SETL200237,31641.93,2026-08-09,CREDITED
BANKREF300238,SETL200238,28434.89,2026-08-13,CREDITED
BANKREF300239,SETL200239,56571.65,2026-08-06,CREDITED
BANKREF300240,SETL200240,53394.41,2026-08-20,CREDITED
BANKREF300241,SETL200241,31808.86,2026-08-14,CREDITED
BANKREF300242,SETL200242,44951.4,2026-08-13,CREDITED
BANKREF300243,SETL200243,3123.36,2026-08-10,CREDITED
BANKREF300244,SETL200244,32538.63,2026-08-21,CREDITED
BANKREF300245,SETL200245,11917.72,2026-08-10,CREDITED
BANKREF300246,SETL200246,32633.24,2026-08-13,CREDITED
BANKREF300247,SETL200247,10419.79,2026-08-14,CREDITED
BANKREF300248,SETL200248,49148.89,2026-08-05,CREDITED
BANKREF300249,SETL200249,8430.04,2026-08-23,CREDITED
BANKREF300250,SETL200250,29970.23,2026-08-14,CREDITED
BANKREF300251,SETL200251,1403.2,2026-08-20,CREDITED
BANKREF300252,SETL200252,31189.91,2026-08-11,CREDITED
BANKREF300253,SETL200253,47094.22,2026-08-08,CREDITED
BANKREF300254,SETL200254,11678.04,2026-08-19,CREDITED
BANKREF300255,SETL200255,5049.05,2026-08-15,CREDITED
BANKREF300256,SETL200256,17479.84,2026-08-05,CREDITED
BANKREF300257,SETL200257,22288.7,2026-08-18,CREDITED
BANKREF300258,SETL200258,4981.46,2026-08-16,CREDITED
BANKREF300259,SETL200259,12813.86,2026-08-21,CREDITED
BANKREF300260,SETL200260,40479.26,2026-08-11,CREDITED
BANKREF300261,SETL200261,54590.38,2026-08-13,CREDITED
BANKREF300263,SETL200263,39627.5,2026-08-20,CREDITED
BANKREF300264,SETL200264,6150.55,2026-08-10,CREDITED
BANKREF300265,SETL200265,2426.23,2026-08-11,CREDITED
BANKREF300266,SETL200266,11219.73,2026-08-21,CREDITED
BANKREF300267,SETL200267,46715.96,2026-08-05,CREDITED
BANKREF300268,SETL200268,41630.58,2026-08-23,CREDITED
BANKREF300269,SETL200269,6663.83,2026-08-03,CREDITED
BANKREF300270,SETL200270,6408.78,2026-08-05,CREDITED
BANKREF300271,SETL200271,6452.6,2026-08-05,CREDITED
BANKREF300272,SETL200272,50556.38,2026-08-17,CREDITED
BANKREF300273,SETL200273,33830.8,2026-08-08,CREDITED
BANKREF300274,SETL200274,16154.1,2026-08-11,CREDITED
BANKREF300275,SETL200275,25809.5,2026-08-16,CREDITED
BANKREF300276,SETL200276,15078.02,2026-08-10,CREDITED
BANKREF300277,SETL200277,13635.83,2026-08-07,CREDITED
BANKREF300278,SETL200278,46973.29,2026-08-13,CREDITED
BANKREF300279,SETL200279,17989.93,2026-08-22,CREDITED
BANKREF300280,SETL200280,56676.22,2026-08-13,CREDITED
BANKREF300281,SETL200281,19486.54,2026-08-11,CREDITED
BANKREF300282,SETL200282,40199.44,2026-08-20,CREDITED
BANKREF300283,SETL200283,47056.52,2026-08-05,CREDITED
BANKREF300284,SETL200284,37381.48,2026-08-10,CREDITED
BANKREF300285,SETL200285,46105.98,2026-08-05,CREDITED
BANKREF300286,SETL200286,31441.05,2026-08-16,CREDITED
BANKREF300287,SETL200287,45483.01,2026-08-14,CREDITED
BANKREF300288,SETL200288,56469.18,2026-08-16,CREDITED
BANKREF300289,SETL200289,13346.71,2026-09-12,CREDITED
BANKREF300291,SETL200291,58323.39,2026-08-18,CREDITED
BANKREF300292,SETL200292,7272.42,2026-08-07,CREDITED
BANKREF300293,SETL200293,46273.27,2026-08-19,CREDITED
BANKREF300294,SETL200294,42637.37,2026-08-17,CREDITED
BANKREF300295,SETL200295,38049.58,2026-08-08,CREDITED
BANKREF300296,SETL200296,19769.73,2026-08-16,CREDITED
BANKREF300297,SETL200297,11346.59,2026-08-16,CREDITED
BANKREF300298,SETL200298,34692.58,2026-08-15,CREDITED
BANKREF300299,SETL200299,27917.85,2026-08-20,CREDITED
BANKREF300300,SETL200300,15819.18,2026-08-18,CREDITED
BANKREF300302,SETL200302,36528.61,2026-09-05,CREDITED
BANKREF300303,SETL200303,7319.51,2026-08-12,CREDITED
BANKREF300304,SETL200304,30343.44,2026-08-16,CREDITED
BANKREF300305,SETL200305,37587.63,2026-08-23,CREDITED
BANKREF300306,SETL200306,17347.95,2026-08-08,CREDITED
BANKREF300307,SETL200307,55664.87,2026-08-18,CREDITED
BANKREF300308,SETL200308,24371.48,2026-08-23,CREDITED
BANKREF300309,SETL200309,33524.79,2026-08-10,CREDITED
BANKREF300310,SETL200310,31828.34,2026-08-08,CREDITED
BANKREF300311,SETL200311,33952.25,2026-08-11,CREDITED
BANKREF300312,SETL200312,32382.82,2026-08-16,CREDITED
BANKREF300313,SETL200313,51020.16,2026-08-04,CREDITED
BANKREF300314,SETL200314,12724.15,2026-08-21,CREDITED
BANKREF300315,SETL200315,36380.47,2026-08-09,CREDITED
BANKREF300316,SETL200316,35061.14,2026-08-08,CREDITED
BANKREF300317,SETL200317,8412.87,2026-08-16,CREDITED
BANKREF300318,SETL200318,41928.43,2026-08-10,CREDITED
BANKREF300319,SETL200319,36854.28,2026-08-15,CREDITED
BANKREF300321,SETL200321,19593.07,2026-08-03,CREDITED
BANKREF300322,SETL200322,49767.31,2026-08-20,CREDITED
BANKREF300323,SETL200323,29327.97,2026-08-13,CREDITED
BANKREF300324,SETL200324,46508.78,2026-08-04,CREDITED
BANKREF300325,SETL200325,26228.67,2026-08-03,CREDITED
BANKREF300327,SETL200327,5282.97,2026-08-23,CREDITED
BANKREF300328,SETL200328,25510.75,2026-08-05,CREDITED
BANKREF300329,SETL200329,15741.43,2026-08-07,CREDITED
BANKREF300330,SETL200330,952.62,2026-08-13,CREDITED
BANKREF300331,SETL200331,4619.93,2026-08-15,CREDITED
BANKREF300332,SETL200332,21794.48,2026-08-12,CREDITED
BANKREF300333,SETL200333,4474.5,2026-09-14,CREDITED
BANKREF300334,SETL200334,20699.69,2026-08-09,CREDITED
BANKREF300335,SETL200335,5543.1,2026-08-06,CREDITED
BANKREF300336,SETL200336,56326.11,2026-08-13,CREDITED
BANKREF300337,SETL200337,14990.33,2026-08-22,CREDITED
BANKREF300338,SETL200338,49660.64,2026-08-12,CREDITED
BANKREF300339,SETL200339,17568.82,2026-08-04,CREDITED
BANKREF300340,SETL200340,14576.36,2026-08-23,CREDITED
BANKREF300341,SETL200341,54626.2,2026-08-07,CREDITED
BANKREF300342,SETL200342,32159.1,2026-08-08,CREDITED
BANKREF300343,SETL200343,1296.86,2026-08-09,CREDITED
BANKREF300344,SETL200344,36898.19,2026-08-19,CREDITED
BANKREF300345,SETL200345,37914.87,2026-08-20,CREDITED
BANKREF300346,SETL200346,18597.53,2026-08-19,CREDITED
BANKREF300347,SETL200347,34388.96,2026-08-23,CREDITED
BANKREF300348,SETL200348,40959.18,2026-08-10,CREDITED
BANKREF300349,SETL200349,7186.57,2026-08-22,CREDITED
BANKREF300351,SETL200351,56125.29,2026-08-19,CREDITED
BANKREF300352,SETL200352,7845.23,2026-08-11,CREDITED
BANKREF300353,SETL200353,47274.72,2026-08-11,CREDITED
BANKREF300354,SETL200354,26836.74,2026-08-14,CREDITED
BANKREF300355,SETL200355,9252.95,2026-08-06,CREDITED
BANKREF300356,SETL200356,50286.84,2026-08-03,CREDITED
BANKREF300357,SETL200357,22688.24,2026-08-07,CREDITED
BANKREF300358,SETL200358,19248.46,2026-08-16,CREDITED
BANKREF300359,SETL200359,33883.41,2026-08-06,CREDITED
BANKREF300361,SETL200361,51135.72,2026-08-12,CREDITED
BANKREF300362,SETL200362,17487.63,2026-08-12,CREDITED
BANKREF300363,SETL200363,21985.88,2026-08-18,CREDITED
BANKREF300364,SETL200364,863.83,2026-08-16,CREDITED
BANKREF300365,SETL200365,571.89,2026-08-15,CREDITED
BANKREF300366,SETL200366,31374.0,2026-08-10,CREDITED
BANKREF300367,SETL200367,41943.44,2026-08-05,CREDITED
BANKREF300368,SETL200368,27063.68,2026-08-05,CREDITED
BANKREF300369,SETL200369,4599.52,2026-08-21,CREDITED
BANKREF300370,SETL200370,15605.28,2026-08-13,CREDITED
BANKREF300371,SETL200371,16362.5,2026-08-05,CREDITED
BANKREF300372,SETL200372,6644.1,2026-08-20,CREDITED
BANKREF300373,SETL200373,56406.46,2026-08-09,CREDITED
BANKREF300374,SETL200374,50282.19,2026-08-05,CREDITED
BANKREF300375,SETL200375,49217.89,2026-08-13,CREDITED
BANKREF300376,SETL200376,30169.25,2026-08-12,CREDITED
BANKREF300377,SETL200377,49894.74,2026-08-20,CREDITED
BANKREF300378,SETL200378,27486.21,2026-08-07,CREDITED
BANKREF300379,SETL200379,8109.56,2026-08-15,CREDITED
BANKREF300380,SETL200380,53630.94,2026-08-05,CREDITED
BANKREF300381,SETL200381,5847.28,2026-08-14,CREDITED
BANKREF300382,SETL200382,54320.41,2026-08-16,CREDITED
BANKREF300383,SETL200383,22682.36,2026-08-16,CREDITED
BANKREF300384,SETL200384,16507.27,2026-08-17,CREDITED
BANKREF300385,SETL200385,24538.33,2026-08-21,CREDITED
BANKREF300386,SETL200386,8415.25,2026-08-09,CREDITED
BANKREF300387,SETL200387,57867.96,2026-08-14,CREDITED
BANKREF300388,SETL200388,53394.5,2026-08-19,CREDITED
BANKREF300389,SETL200389,2007.68,2026-08-22,CREDITED
BANKREF300390,SETL200390,47384.93,2026-08-18,CREDITED
BANKREF300391,SETL200391,6322.35,2026-08-10,CREDITED
BANKREF300392,SETL200392,33577.48,2026-08-15,CREDITED
BANKREF300393,SETL200393,47222.67,2026-08-14,CREDITED
BANKREF300394,SETL200394,49262.9,2026-08-18,CREDITED
BANKREF300395,SETL200395,2380.42,2026-08-04,CREDITED
BANKREF300396,SETL200396,13839.11,2026-08-22,CREDITED
BANKREF300397,SETL200397,3642.92,2026-08-07,CREDITED
BANKREF300399,SETL200399,19174.31,2026-08-08,CREDITED
BANKREF300400,SETL200400,10260.23,2026-08-20,CREDITED
BANKREF300402,SETL200402,10841.05,2026-08-03,CREDITED
BANKREF300403,SETL200403,11045.3,2026-08-13,CREDITED
BANKREF300405,SETL200405,37547.54,2026-08-05,CREDITED
BANKREF300406,SETL200406,1150.04,2026-08-09,CREDITED
BANKREF300407,SETL200407,46076.72,2026-08-03,CREDITED
BANKREF300408,SETL200408,56515.39,2026-08-16,CREDITED
BANKREF300409,SETL200409,6344.8,2026-08-18,CREDITED
BANKREF300410,SETL200410,26777.11,2026-08-04,CREDITED
BANKREF300412,SETL200412,43127.81,2026-08-20,CREDITED
BANKREF300413,SETL200413,25500.7,2026-08-23,CREDITED
BANKREF300414,SETL200414,3620.95,2026-08-13,CREDITED
BANKREF300415,SETL200415,17714.4,2026-08-11,CREDITED
BANKREF300416,SETL200416,3664.42,2026-08-03,CREDITED
BANKREF300417,SETL200417,12003.72,2026-08-03,CREDITED
BANKREF300418,SETL200418,49530.38,2026-08-12,CREDITED
BANKREF300420,SETL200420,11303.23,2026-08-04,CREDITED
BANKREF300421,SETL200421,13592.39,2026-08-11,CREDITED
BANKREF300422,SETL200422,5498.5,2026-08-14,CREDITED
BANKREF300423,SETL200423,48904.07,2026-08-19,CREDITED
BANKREF300424,SETL200424,17932.8,2026-08-16,CREDITED
BANKREF300425,SETL200425,55951.94,2026-08-23,CREDITED
BANKREF300426,SETL200426,2975.38,2026-08-05,CREDITED
BANKREF300428,SETL200428,33085.56,2026-08-20,CREDITED
BANKREF300429,SETL200429,24705.09,2026-08-07,CREDITED
BANKREF300430,SETL200430,33366.21,2026-08-06,CREDITED
BANKREF300431,SETL200431,10129.21,2026-08-23,CREDITED
BANKREF300432,SETL200432,16532.44,2026-08-07,CREDITED
BANKREF300433,SETL200433,23440.01,2026-08-13,CREDITED
BANKREF300434,SETL200434,54246.43,2026-08-14,CREDITED
BANKREF300435,SETL200435,16726.51,2026-08-19,CREDITED
BANKREF300436,SETL200436,56959.54,2026-08-17,CREDITED
BANKREF300437,SETL200437,26238.57,2026-08-16,CREDITED
BANKREF300438,SETL200438,30369.38,2026-08-08,CREDITED
BANKREF300440,SETL200440,51506.21,2026-08-09,CREDITED
BANKREF300441,SETL200441,3436.56,2026-08-14,CREDITED
BANKREF300442,SETL200442,48289.8,2026-08-19,CREDITED
BANKREF300444,SETL200444,20443.05,2026-08-11,CREDITED
BANKREF300445,SETL200445,3350.92,2026-08-21,CREDITED
BANKREF300446,SETL200446,16075.77,2026-08-16,CREDITED
BANKREF300447,SETL200447,53702.33,2026-08-24,CREDITED
BANKREF300448,SETL200448,41773.91,2026-08-23,CREDITED
BANKREF300449,SETL200449,26922.15,2026-08-09,CREDITED
BANKREF300450,SETL200450,1261.56,2026-08-14,CREDITED
BANKREF300451,SETL200451,2448.23,2026-08-11,CREDITED
BANKREF300452,SETL200452,11397.97,2026-08-19,CREDITED
BANKREF300453,SETL200453,39950.16,2026-08-03,CREDITED
BANKREF300454,SETL200454,52640.19,2026-08-15,CREDITED
BANKREF300455,SETL200455,53411.06,2026-08-14,CREDITED
BANKREF300456,SETL200456,6166.09,2026-08-07,CREDITED
BANKREF300457,SETL200457,38424.33,2026-08-12,CREDITED
BANKREF300458,SETL200458,22033.35,2026-08-21,CREDITED
BANKREF300459,SETL200459,28080.77,2026-08-09,CREDITED
BANKREF300460,SETL200460,24416.97,2026-08-07,CREDITED
BANKREF300461,SETL200461,57561.37,2026-08-24,CREDITED
BANKREF300462,SETL200462,19904.85,2026-08-08,CREDITED
BANKREF300463,SETL200463,26702.98,2026-08-09,CREDITED
BANKREF300464,SETL200464,36283.09,2026-08-23,CREDITED
BANKREF300465,SETL200465,22864.13,2026-08-04,CREDITED
BANKREF300466,SETL200466,52219.16,2026-08-19,CREDITED
BANKREF300467,SETL200467,13679.42,2026-08-14,CREDITED
BANKREF300468,SETL200468,10161.82,2026-08-04,CREDITED
