settlement_id,transaction_id,gross_amount,fee,tax,net_amount,settlement_date,status
SETL200100,TXN100100,15240.75,328.15,59.07,14853.53,2026-08-16,SETTLED
SETL200101,TXN100101,22684.69,494.53,89.02,22101.14,2026-08-11,SETTLED
SETL200102,TXN100102,4421.76,96.39,17.35,4308.02,2026-08-05,SETTLED
SETL200103,TXN100103,15493.75,347.06,62.47,15084.22,2026-08-21,SETTLED
SETL200104,TXN100104,55046.41,979.83,176.37,53890.21,2026-08-11,SETTLED
SETL200105,TXN100105,35904.95,639.11,115.04,35150.8,2026-08-04,SETTLED
SETL200106,TXN100106,48884.49,1065.68,191.82,47626.99,2026-08-18,SETTLED
SETL200107,TXN100107,1584.72,34.55,6.22,1543.95,2026-08-11,SETTLED
SETL200108,TXN100108,11924.31,194.6,35.03,11694.68,2026-08-06,SETTLED
SETL200109,TXN100109,30707.54,469.83,84.57,30153.14,2026-08-19,SETTLED
SETL200110,TXN100110,52645.37,1147.67,206.58,51291.12,2026-08-21,SETTLED
SETL200111,TXN100111,10153.71,180.74,32.53,9940.44,2026-08-21,SETTLED
SETL200112,TXN100112,22175.82,535.0,96.3,21544.52,2026-08-09,SETTLED
SETL200114,TXN100114,40859.26,890.73,160.33,39808.2,2026-08-20,SETTLED
SETL200115,TXN100115,30422.95,732.11,131.78,29559.06,2026-08-15,SETTLED
SETL200116,TXN100116,52509.96,839.91,151.18,51518.87,2026-08-19,SETTLED
SETL200117,TXN100117,5490.57,122.99,22.14,5345.44,2026-08-07,SETTLED
SETL200118,TXN100118,5956.96,147.37,26.53,5783.06,2026-08-09,SETTLED
SETL200119,TXN100119,3668.78,92.68,16.68,3559.42,2026-08-24,SETTLED
SETL200120,TXN100120,13860.06,302.15,54.39,13503.52,2026-08-12,SETTLED
SETL200121,TXN100121,17569.32,640.82,115.35,16813.15,2026-08-17,SETTLED
SETL200122,TXN100122,54398.52,1166.13,209.9,53022.49,2026-08-02,SETTLED
SETL200123,TXN100123,7115.62,175.06,31.51,6909.05,2026-08-11,SETTLED
SETL200124,TXN100124,14687.15,316.31,56.94,14313.9,2026-08-22,SETTLED
SETL200125,TXN100125,43253.39,743.96,133.91,42375.52,2026-08-11,SETTLED
SETL200126,TXN100126,40030.09,712.54,128.26,39189.29,2026-08-04,SETTLED
SETL200127,TXN100127,23732.0,509.86,91.77,23130.37,2026-08-17,SETTLED
SETL200128,TXN100128,15592.19,339.91,61.18,15191.1,2026-08-02,SETTLED
SETL200129,TXN100129,44109.99,758.69,136.56,43214.74,2026-08-22,SETTLED
SETL200130,TXN100130,32987.82,719.13,129.44,32139.25,2026-08-22,SETTLED
SETL200131,TXN100131,38088.28,610.6,109.91,37367.77,2026-08-06,SETTLED
SETL200132,TXN100132,12494.66,279.88,50.38,12164.4,2026-08-08,SETTLED
SETL200133,TXN100133,59352.8,1423.53,256.24,57673.03,2026-08-19,SETTLED
SETL200134,TXN100134,17523.6,301.41,54.25,17167.94,2026-08-03,SETTLED
SETL200135,TXN100135,48060.87,735.33,132.36,47193.18,2026-08-15,SETTLED
SETL200136,TXN100136,58436.55,1273.92,174.48,56988.15,2026-08-17,SETTLED
SETL200137,TXN100137,43761.34,669.55,120.52,42971.27,2026-08-04,SETTLED
SETL200139,TXN100139,27031.99,605.52,108.99,26317.48,2026-08-15,SETTLED
SETL200140,TXN100140,3020.13,53.02,9.54,2957.57,2026-08-13,SETTLED
SETL200141,TXN100141,4964.95,108.25,19.48,4837.22,2026-08-22,SETTLED
SETL200142,TXN100142,8995.38,194.5,35.01,8765.87,2026-08-21,SETTLED
SETL200143,TXN100143,4500.39,80.11,14.42,4405.86,2026-08-22,SETTLED
SETL200144,TXN100144,36503.14,783.17,140.97,35579.0,2026-08-19,SETTLED
SETL200145,TXN100145,32002.86,569.65,102.54,31330.67,2026-08-14,SETTLED
SETL200146,TXN100146,30193.12,537.44,96.74,29558.94,2026-08-14,SETTLED
SETL200147,TXN100147,42390.25,949.54,170.92,41269.79,2026-08-11,SETTLED
SETL200148,TXN100148,8575.84,131.21,23.62,8421.01,2026-08-06,SETTLED
SETL200149,TXN100149,40236.47,877.16,157.89,39495.4,2026-08-04,SETTLED
SETL200150,TXN100150,30770.97,670.81,120.75,29572.98,2026-08-05,SETTLED
SETL200151,TXN100151,33464.28,729.52,131.31,32603.45,2026-08-13,SETTLED
SETL200152,TXN100152,4412.01,67.5,12.15,4332.36,2026-08-14,SETTLED
SETL200153,TXN100153,49488.69,1187.78,213.8,48087.11,2026-08-04,SETTLED
SETL200154,TXN100154,28217.08,453.65,81.66,27681.77,2026-08-18,SETTLED
SETL200155,TXN100155,26240.79,467.09,84.08,25689.62,2026-08-03,SETTLED
SETL200156,TXN100156,10297.1,230.66,41.52,10024.92,2026-08-12,SETTLED
SETL200157,TXN100157,50833.06,1138.66,140.51,49553.89,2026-08-10,SETTLED
SETL200158,TXN100158,37688.83,670.86,120.75,36897.22,2026-08-21,SETTLED
SETL200159,TXN100159,10686.44,190.22,34.24,10461.98,2026-08-21,SETTLED
SETL200160,TXN100160,49601.56,1063.47,191.42,48346.67,2026-08-02,SETTLED
SETL200161,TXN100161,46134.06,793.51,142.83,45197.72,2026-08-15,SETTLED
SETL200162,TXN100162,53395.31,853.99,153.72,52387.6,2026-08-19,SETTLED
SETL200163,TXN100163,18197.32,439.92,79.19,17678.21,2026-08-04,SETTLED
SETL200164,TXN100164,25229.49,406.15,73.11,24750.23,2026-08-16,SETTLED
SETL200165,TXN100165,51758.36,1128.33,203.1,50426.93,2026-08-12,SETTLED
SETL200166,TXN100166,45759.57,814.52,146.61,44798.44,2026-08-18,SETTLED
SETL200167,TXN100167,28255.12,485.99,87.48,27681.65,2026-08-10,SETTLED
SETL200168,TXN100168,3511.01,53.72,9.67,3447.62,2026-08-14,SETTLED
SETL200169,TXN100169,48901.93,870.45,156.68,47874.8,2026-08-20,SETTLED
SETL200170,TXN100170,30146.8,536.61,96.59,29513.6,2026-08-18,SETTLED
SETL200171,TXN100171,1878.99,34.88,6.28,1837.83,2026-08-14,SETTLED
SETL200172,TXN100172,3507.15,77.05,13.87,3416.23,2026-08-17,SETTLED
SETL200173,TXN100173,32433.1,726.5,130.77,31575.83,2026-08-07,SETTLED
SETL200175,TXN100175,33416.76,728.49,131.13,32557.14,2026-08-04,SETTLED
SETL200176,TXN100176,49606.02,1111.17,200.01,48294.84,2026-08-21,SETTLED
SETL200177,TXN100177,58517.43,1041.61,187.49,57288.33,2026-08-14,SETTLED
SETL200178,TXN100178,12343.94,219.72,39.55,12084.67,2026-08-19,SETTLED
SETL200179,TXN100179,42958.71,764.67,137.64,42056.4,2026-08-17,SETTLED
SETL200180,TXN100180,55916.44,1218.98,219.42,32590.87,2026-08-12,SETTLED
SETL200181,TXN100181,30685.24,668.94,120.41,29895.89,2026-08-18,SETTLED
SETL200182,TXN100182,49037.06,784.69,141.24,48111.13,2026-08-13,SETTLED
SETL200183,TXN100183,35230.28,847.0,152.46,34230.82,2026-08-22,SETTLED
SETL200184,TXN100184,58040.71,1300.11,234.02,56354.19,2026-08-20,SETTLED
SETL200185,TXN100185,31691.82,564.11,101.54,30909.67,2026-08-21,SETTLED
SETL200186,TXN100186,1626.77,27.98,5.04,1593.75,2026-08-12,SETTLED
SETL200187,TXN100187,24917.46,428.58,77.14,24411.74,2026-08-21,SETTLED
SETL200188,TXN100188,33872.76,582.61,104.87,32965.71,2026-08-17,SETTLED
SETL200189,TXN100189,40714.18,1025.73,184.63,39503.82,2026-08-22,SETTLED
SETL200190,TXN100190,17100.88,294.14,52.95,16753.79,2026-08-11,SETTLED
SETL200191,TXN100191,41569.27,714.99,128.7,40725.58,2026-08-31,SETTLED
SETL200192,TXN100192,7751.51,173.63,31.25,7999.72,2026-08-19,SETTLED
SETL200194,TXN100194,13232.22,215.39,38.77,12978.06,2026-08-19,SETTLED
SETL200196,TXN100196,38457.7,661.47,119.06,37677.17,2026-08-03,SETTLED
SETL200197,TXN100197,6482.42,108.07,19.45,6354.9,2026-08-06,SETTLED
SETL200198,TXN100198,39347.12,945.4,170.17,38574.29,2026-08-17,SETTLED
SETL200199,TXN100199,54522.25,1168.78,210.38,34199.35,2026-08-04,SETTLED
SETL200200,TXN100200,25364.16,451.48,81.27,24831.41,2026-08-12,SETTLED
SETL200201,TXN100201,52666.22,1179.72,212.35,51274.15,2026-08-02,SETTLED
SETL200202,TXN100202,59351.42,948.69,170.76,57959.71,2026-08-19,SETTLED
SETL200203,TXN100203,11972.28,268.18,48.27,11655.83,2026-08-05,SETTLED
SETL200204,TXN100204,43256.59,968.95,174.41,42113.23,2026-08-02,SETTLED
SETL200205,TXN100205,10941.95,188.2,33.88,10719.87,2026-08-22,SETTLED
SETL200206,TXN100206,24349.58,372.55,67.06,23909.97,2026-08-05,SETTLED
SETL200207,TXN100207,56181.61,1224.76,220.46,54736.39,2026-08-02,SETTLED
SETL200208,TXN100208,45348.52,726.04,130.69,44491.79,2026-08-12,SETTLED
SETL200209,TXN100209,39394.16,882.43,158.84,38352.89,2026-08-09,SETTLED
SETL200210,TXN100210,18754.98,493.75,88.88,18172.35,2026-08-14,SETTLED
SETL200212,TXN100212,27571.23,490.77,88.34,26992.12,2026-08-21,SETTLED
SETL200213,TXN100213,40980.34,704.86,126.87,40435.09,2026-08-21,SETTLED
SETL200214,TXN100214,49812.06,1067.98,192.24,48551.84,2026-08-18,SETTLED
SETL200215,TXN100215,20023.0,356.41,64.15,19602.44,2026-08-18,SETTLED
SETL200216,TXN100216,5911.03,98.99,17.82,5794.22,2026-08-18,SETTLED
SETL200217,TXN100217,31038.25,552.48,99.45,30386.32,2026-08-16,SETTLED
SETL200218,TXN100218,43535.16,975.19,175.53,42384.44,2026-08-14,SETTLED
SETL200219,TXN100219,3194.74,48.88,8.8,3137.06,2026-08-13,SETTLED
SETL200220,TXN100220,59175.17,905.38,162.97,58106.82,2026-08-17,SETTLED
SETL200221,TXN100221,46253.84,823.32,148.2,45622.97,2026-08-22,SETTLED
SETL200222,TXN100222,52242.41,835.65,150.42,51256.34,2026-08-14,SETTLED
SETL200223,TXN100223,7558.67,164.78,29.66,7364.23,2026-08-19,SETTLED
SETL200224,TXN100224,50171.89,862.96,155.33,49153.6,2026-08-02,SETTLED
SETL200225,TXN100225,49489.95,1187.81,213.81,48088.33,2026-08-09,SETTLED
SETL200226,TXN100226,11714.59,262.41,47.23,11404.95,2026-08-05,SETTLED
SETL200227,TXN100227,14819.64,319.14,57.45,14443.05,2026-08-04,SETTLED
SETL200228,TXN100228,36068.2,578.48,104.13,35385.59,2026-08-03,SETTLED
SETL200229,TXN100229,14443.19,234.65,42.24,14279.36,2026-08-08,SETTLED
SETL200230,TXN100230,14595.79,318.19,57.27,14220.33,2026-08-06,SETTLED
SETL200231,TXN100231,18379.81,444.28,79.97,17378.73,2026-08-03,SETTLED
SETL200232,TXN100232,3289.6,57.3,10.31,3221.99,2026-08-13,SETTLED
SETL200233,TXN100233,24791.42,597.51,107.55,24086.36,2026-08-11,SETTLED
SETL200234,TXN100234,51035.79,877.82,158.01,49999.96,2026-08-11,SETTLED
SETL200235,TXN100235,33961.96,728.79,131.18,33101.99,2026-08-15,SETTLED
SETL200236,TXN100236,14950.08,362.31,65.22,14522.55,2026-08-08,SETTLED
SETL200237,TXN100237,32370.31,495.27,89.15,31785.89,2026-08-08,SETTLED
SETL200238,TXN100238,29023.96,499.21,89.86,28434.89,2026-08-12,SETTLED
SETL200239,TXN100239,57743.61,993.19,178.77,56571.65,2026-08-05,SETTLED
SETL200240,TXN100240,54950.02,1318.31,237.3,53394.41,2026-08-19,SETTLED
SETL200241,TXN100241,32252.18,517.81,93.21,31808.86,2026-08-13,SETTLED
SETL200242,TXN100242,45816.92,733.49,132.03,44951.4,2026-08-12,SETTLED
SETL200243,TXN100243,3220.07,81.96,14.75,3123.36,2026-08-09,SETTLED
SETL200244,TXN100244,33422.04,748.65,134.76,32538.63,2026-08-20,SETTLED
SETL200245,TXN100245,12173.41,216.69,39.0,11917.72,2026-08-09,SETTLED
SETL200246,TXN100246,33263.23,533.89,96.1,32633.24,2026-08-12,SETTLED
SETL200247,TXN100247,10509.9,172.11,30.98,10419.79,2026-08-13,SETTLED
SETL200248,TXN100248,50424.58,1081.09,194.6,49148.89,2026-08-04,SETTLED
SETL200249,TXN100249,8680.75,212.47,38.24,8430.04,2026-08-22,SETTLED
SETL200250,TXN100250,30591.11,526.17,94.71,29970.23,2026-08-13,SETTLED
SETL200251,TXN100251,1436.04,27.83,5.01,1403.2,2026-08-19,SETTLED
SETL200252,TXN100252,32000.35,686.81,123.63,31189.91,2026-08-10,SETTLED
SETL200253,TXN100253,48466.98,1163.36,209.4,47094.22,2026-08-07,SETTLED
SETL200254,TXN100254,11919.96,205.02,36.9,11678.04,2026-08-18,SETTLED
SETL200255,TXN100255,5201.65,129.32,23.28,5049.05,2026-08-14,SETTLED
SETL200256,TXN100256,18348.49,315.59,56.81,17479.84,2026-08-04,SETTLED
SETL200257,TXN100257,22941.59,553.3,99.59,22288.7,2026-08-17,SETTLED
SETL200258,TXN100258,5419.82,96.47,17.36,5305.99,2026-08-15,SETTLED
SETL200259,TXN100259,13079.31,224.96,40.49,12813.86,2026-08-20,SETTLED
SETL200260,TXN100260,41223.51,630.72,113.53,40479.26,2026-08-10,SETTLED
SETL200261,TXN100261,55761.6,992.56,178.66,54590.38,2026-08-12,SETTLED
SETL200263,TXN100263,40783.58,979.73,176.35,39627.5,2026-08-19,SETTLED
SETL200264,TXN100264,6312.3,137.08,24.67,6150.55,2026-08-09,SETTLED
SETL200265,TXN100265,2262.73,49.33,8.88,2204.52,2026-08-10,SETTLED
SETL200266,TXN100266,11551.4,281.08,50.59,11219.73,2026-08-20,SETTLED
SETL200267,TXN100267,47984.28,1074.85,193.47,46715.96,2026-08-04,SETTLED
SETL200268,TXN100268,42844.79,1028.99,185.22,41630.58,2026-08-22,SETTLED
SETL200269,TXN100269,6839.78,149.11,26.84,6663.83,2026-08-02,SETTLED
SETL200270,TXN100270,6582.77,147.45,26.54,6408.78,2026-08-04,SETTLED
SETL200271,TXN100271,6645.93,163.84,29.49,6452.6,2026-08-04,SETTLED
SETL200272,TXN100272,51891.23,1131.23,203.62,50556.38,2026-08-16,SETTLED
SETL200273,TXN100273,34531.65,593.94,106.91,33830.8,2026-08-07,SETTLED
SETL200274,TXN100274,16500.68,293.71,52.87,16154.1,2026-08-10,SETTLED
SETL200275,TXN100275,26363.24,469.27,84.47,25809.5,2026-08-15,SETTLED
SETL200276,TXN100276,15476.13,337.38,60.73,15078.02,2026-08-09,SETTLED
SETL200277,TXN100277,27742.77,477.18,85.89,13635.83,2026-08-06,SETTLED
SETL200278,TXN100278,48342.55,1160.39,208.87,46973.29,2026-08-12,SETTLED
SETL200279,TXN100279,18375.9,327.09,58.88,17989.93,2026-08-21,SETTLED
SETL200280,TXN100280,57892.19,1030.48,185.49,56676.22,2026-08-12,SETTLED
SETL200281,TXN100281,19890.23,342.11,61.58,19486.54,2026-08-10,SETTLED
SETL200282,TXN100282,41061.9,730.9,131.56,40199.44,2026-08-19,SETTLED
SETL200283,TXN100283,47962.29,767.6,138.17,47056.52,2026-08-04,SETTLED
SETL200284,TXN100284,38183.49,679.67,122.34,37381.48,2026-08-09,SETTLED
SETL200285,TXN100285,47450.07,1139.06,205.03,46105.98,2026-08-04,SETTLED
SETL200286,TXN100286,32294.86,776.85,139.83,31378.18,2026-08-15,SETTLED
SETL200287,TXN100287,46252.77,707.67,62.09,45483.01,2026-08-13,SETTLED
SETL200288,TXN100288,57960.15,1263.53,227.44,56469.18,2026-08-15,SETTLED
SETL200289,TXN100289,13709.06,307.08,55.27,13346.71,2026-09-11,SETTLED
SETL200291,TXN100291,59863.31,1305.02,234.9,58323.39,2026-08-17,SETTLED
SETL200292,TXN100292,7406.13,113.31,20.4,7272.42,2026-08-06,SETTLED
SETL200293,TXN100293,47164.06,754.91,135.88,46273.27,2026-08-18,SETTLED
SETL200294,TXN100294,43458.64,695.99,125.28,42637.37,2026-08-16,SETTLED
SETL200295,TXN100295,39054.21,851.38,153.25,38049.58,2026-08-07,SETTLED
SETL200296,TXN100296,20193.88,359.45,64.7,19769.73,2026-08-15,SETTLED
SETL200297,TXN100297,11590.02,206.3,37.13,11346.59,2026-08-15,SETTLED
SETL200298,TXN100298,35736.09,573.2,103.18,34692.58,2026-08-14,SETTLED
SETL200299,TXN100299,48070.39,735.48,132.39,27917.85,2026-08-19,SETTLED
SETL200300,TXN100300,16110.03,246.48,44.37,15819.18,2026-08-17,SETTLED
SETL200302,TXN100302,37233.08,597.01,107.46,36528.61,2026-09-04,SETTLED
SETL200303,TXN100303,7512.77,163.78,29.48,7319.51,2026-08-11,SETTLED
SETL200304,TXN100304,30894.08,549.91,98.98,30245.19,2026-08-15,SETTLED
SETL200305,TXN100305,38312.35,614.17,110.55,37587.63,2026-08-22,SETTLED
SETL200306,TXN100306,17685.67,286.2,51.52,17347.95,2026-08-07,SETTLED
SETL200307,TXN100307,57134.6,1245.53,224.2,55664.87,2026-08-17,SETTLED
SETL200308,TXN100308,24843.49,400.01,72.0,24371.48,2026-08-22,SETTLED
SETL200309,TXN100309,34141.17,522.36,94.02,33524.79,2026-08-09,SETTLED
SETL200310,TXN100310,32487.71,558.79,100.58,31828.34,2026-08-07,SETTLED
SETL200311,TXN100311,34576.49,529.02,95.22,33952.25,2026-08-10,SETTLED
SETL200312,TXN100312,33008.02,529.83,95.37,32382.82,2026-08-15,SETTLED
SETL200313,TXN100313,52551.19,1177.15,211.89,51162.15,2026-08-03,SETTLED
SETL200314,TXN100314,12987.75,223.39,40.21,12724.15,2026-08-20,SETTLED
SETL200315,TXN100315,37161.0,661.47,119.06,36380.47,2026-08-08,SETTLED
SETL200316,TXN100316,36013.03,806.69,145.2,35061.14,2026-08-07,SETTLED
SETL200317,TXN100317,8567.54,131.08,23.59,8412.87,2026-08-15,SETTLED
SETL200318,TXN100318,42827.99,762.34,137.22,41928.43,2026-08-09,SETTLED
SETL200319,TXN100319,37854.86,847.95,152.63,36854.28,2026-08-14,SETTLED
SETL200320,TXN100320,31179.0,750.18,135.03,30293.79,2026-08-10,SETTLED
SETL200321,TXN100321,19973.71,322.58,58.06,19593.07,2026-08-02,SETTLED
SETL200322,TXN100322,51081.32,1113.57,200.44,49767.31,2026-08-19,SETTLED
SETL200323,TXN100323,29935.54,514.89,92.68,29327.97,2026-08-12,SETTLED
SETL200324,TXN100324,47404.07,758.72,136.57,46508.78,2026-08-03,SETTLED
SETL200325,TXN100325,26756.51,476.27,51.57,26228.67,2026-08-02,SETTLED
SETL200326,TXN100326,52528.19,935.0,168.3,51424.89,2026-08-10,SETTLED
SETL200327,TXN100327,5404.02,121.05,0,5282.97,2026-08-22,SETTLED
SETL200328,TXN100328,26039.24,447.87,80.62,25510.75,2026-08-04,SETTLED
SETL200329,TXN100329,28870.0,496.56,89.38,15741.43,2026-08-06,SETTLED
SETL200330,TXN100330,979.72,22.97,4.13,952.62,2026-08-12,SETTLED
SETL200331,TXN100331,4714.28,79.96,14.39,4619.93,2026-08-14,SETTLED
SETL200332,TXN100332,22369.92,487.66,87.78,21794.48,2026-08-11,SETTLED
SETL200333,TXN100333,4570.49,81.35,14.64,4474.5,2026-09-13,SETTLED
SETL200334,TXN100334,21395.67,589.81,106.17,20699.69,2026-08-08,SETTLED
SETL200335,TXN100335,5657.94,97.32,17.52,5543.1,2026-08-05,SETTLED
SETL200336,TXN100336,57813.3,1260.33,226.86,56326.11,2026-08-12,SETTLED
SETL200337,TXN100337,15265.94,233.57,42.04,14990.33,2026-08-21,SETTLED
